Sample_ID,raw_seq_count,filename,genotype,nitrogen,block,sp,spb,subsample,collected_by_person,row,year,pedigree,subpopulation
HAV_2281,92900,HAV_2281_S83_R1_001.fastq.gz,CHECK2,+N,N,sp1,spb1,rep1,CRG,1013,Y2018,B37xMo17,NA
HAV_2282,90324,HAV_2282_S91_R1_001.fastq.gz,CML228,+N,N,sp1,spb1,rep1,ALB,1015,Y2018,Ames 27088,ts
HAV_2283,107113,HAV_2283_S99_R1_001.fastq.gz,CML228,+N,N,sp1,spb1,rep2,ALB,1016,Y2018,Ames 27088,ts
HAV_2284,66035,HAV_2284_S107_R1_001.fastq.gz,CHECK2,+N,N,sp1,spb2,rep1,NF,1026,Y2018,B37xMo17,NA
HAV_2285,102815,HAV_2285_S115_R1_001.fastq.gz,CHECK2,+N,N,sp1,spb3,rep1,CRG,1047,Y2018,B37xMo17,NA
HAV_2286,89070,HAV_2286_S123_R1_001.fastq.gz,CHECK,+N,N,sp2,spb2,rep1,NF,1066,Y2018,B73xMo17,NA
HAV_2287,109207,HAV_2287_S68_R1_001.fastq.gz,CHECK2,+N,N,sp2,spb2,rep1,NF,1069,Y2018,B37xMo17,NA
HAV_2288,91661,HAV_2288_S76_R1_001.fastq.gz,CHECK,+N,N,sp1,spb1,rep1,GL,1109,Y2018,B73xMo17,NA
HAV_2289,92979,HAV_2289_S84_R1_001.fastq.gz,CML69,+N,N,sp1,spb2,rep1,GL,1127,Y2018,Ames 28184,ts
HAV_2290,101527,HAV_2290_S92_R1_001.fastq.gz,CML69,+N,N,sp1,spb2,rep2,NF,1128,Y2018,Ames 28184,ts
HAV_2291,98099,HAV_2291_S100_R1_001.fastq.gz,CHECK,+N,N,sp1,spb2,rep1,GL,1130,Y2018,B73xMo17,NA
HAV_2292,62129,HAV_2292_S108_R1_001.fastq.gz,T232,+N,N,sp1,spb3,rep1,NF,1133,Y2018,PI 550522,mixed
HAV_2293,98704,HAV_2293_S116_R1_001.fastq.gz,T232,+N,N,sp1,spb3,rep2,CRG,1134,Y2018,PI 550522,mixed
HAV_2294,103353,HAV_2294_S124_R1_001.fastq.gz,TZI8,+N,N,sp1,spb3,rep1,CRG,1135,Y2018,PI 506246,ts
