"","value"
"33-16",-5.81374394700607
"38-11",-5.84513698029011
"4226",-5.82385093477116
"4722",-5.69084883166089
"796",-5.68134681933869
"A188",-5.72992030545307
"A214N",-5.7710266275264
"A239",-5.62421663309023
"A554",-5.72630832843457
"A556",-5.58761170638409
"A619",-5.65671755139195
"A632",-5.72742254959142
"A634",-5.92039120122232
"A635",-5.86612279098498
"A641",-5.72104463063571
"A654",-5.86496366162401
"A659",-5.80260948164336
"A661",-5.83922574809137
"A679",-5.76617876990796
"A680",-5.79990043104017
"A682",-5.47996243814555
"B103",-5.72402579966335
"B104",-5.71301472738141
"B105",-5.78553824493763
"B109",-5.77319349765359
"B14A",-5.72873329867985
"B164",-5.84257499655957
"B2",-5.94967192576426
"B37",-5.74709195013595
"B46",-5.88954134115046
"B57",-5.79157179564673
"B64",-5.75253257014504
"B68",-5.73092054607503
"B73",-5.8229050367596
"B73HTRHM",-5.92061316732435
"B75",-5.89266756160785
"B76",-5.71849682999471
"B77",-5.83452592100626
"B79",-5.7951170712785
"B84",-5.78837689656204
"B97",-5.80531520885036
"C103",-5.88244553583035
"C123",-5.88776722658772
"C49",-5.88127340945511
"C49A",-5.86544455853552
"CH701-30",-5.89246234599072
"CH9",-5.81842785397279
"CI187-2",-5.86916218930042
"CI31A",-5.76294049213822
"CI3A",-5.8034200541111
"CI44",-5.71416197326677
"CI64",-5.81339547416718
"CI7",-5.7374412822761
"CI90C",-5.80282708356968
"CM105",-5.88276815799158
"CM174",-5.63402061863412
"CM37",-5.82761507259844
"CM7",-5.77582741846033
"CML10",-5.7661756172849
"CML103",-5.79703278943566
"CML108",-5.77787168726509
"CML154Q",-5.75316929624645
"CML158Q",-5.87566654384336
"CML218",-5.68804070595566
"CML220",-5.93926636804419
"CML254",-5.65330032320664
"CML261",-5.82898522165912
"CML277",-5.6962596239551
"CML314",-5.75129567054059
"CML321",-5.87839935467649
"CML322",-5.6998946923804
"CML323",-5.83849101061649
"CML333",-5.85915852312312
"CML52",-5.63747967672447
"CML69",-5.83431498535829
"CMV3",-5.62738514804308
"CO106",-5.88981834797941
"CO109",-5.82381966027522
"CO125",-5.81317179265971
"CO255",-5.80027009341884
"DE1",-5.75437640253072
"DE2",-5.66025568326842
"DE811",-5.63229698758729
"E2558W",-5.93152327142299
"EP1",-5.64165933159282
"F2",-5.7460831660914
"F2834T",-5.7799716432423
"F44",-5.87539555334686
"F7",-5.83160751324898
"GA209",-5.95704443125381
"H100",-5.75553349068184
"H105W",-5.91157251153487
"H84",-5.80105648062878
"H91",-5.74803738527899
"H95",-5.84949387751297
"H99",-5.71454474671655
"HP301",-5.85646486485064
"HY",-5.83900705512071
"I29",-5.68897892515328
"IA2132",-5.71798428367856
"IA5125",-5.8570349754803
"IDS28",-5.84924907957702
"IDS91",-5.74007425515847
"IL101",-5.92198401460954
"IL14H",-5.71119389859042
"IL677A",-5.77700262279866
"K4",-5.89773739899087
"K55",-5.81609382295541
"K64",-5.88944961322204
"KI11",-5.84530952638003
"KI2021",-5.91203919985571
"KI44",-5.64219492039722
"KY226",-5.8211993898268
"L317",-5.85134104403141
"M14",-5.78103909669064
"M162W",-5.70458070126924
"M37W",-5.68034429147907
"MEF156-55-2",-5.80926134833716
"MO17",-5.88570512821327
"MO1W",-5.86578366739738
"MO24W",-5.89954664979316
"MO44",-5.79207118533137
"MO45",-5.71875117984504
"MO46",-5.75322768364247
"MO47",-5.92216360571613
"MP339",-5.67588449155434
"MS1334",-5.82071322215637
"MS153",-5.8915297299492
"MT42",-5.88407613745861
"N192",-5.80342904741882
"N28HT",-5.76503964549627
"N6",-5.98849766021422
"N7A",-5.70518037786063
"NC222",-5.76741804134922
"NC230",-5.85420120146621
"NC232",-5.66765121849596
"NC236",-5.7289990925816
"NC250",-5.73947772904166
"NC258",-5.83406663720432
"NC262",-5.89320405200208
"NC264",-5.6425228306907
"NC268",-5.76265489687042
"NC290A",-5.75974860549839
"NC292",-5.88148847528206
"NC294",-5.79257362884675
"NC296",-5.71710326480513
"NC298",-5.81122199694251
"NC302",-5.80551928291779
"NC306",-5.68951329014997
"NC308",-5.67841727078293
"NC310",-5.75279020820478
"NC312",-5.90739290811358
"NC316",-5.88440789367113
"NC318",-5.69776315567193
"NC320",-5.68303243517614
"NC324",-5.67793357879192
"NC326",-5.68788366904368
"NC328",-5.77569958109588
"NC330",-5.82998959792889
"NC332",-5.87686687840682
"NC334",-5.87576948414152
"NC336",-5.77238753503538
"NC338",-5.71745459153591
"NC340",-5.74150007898112
"NC342",-5.87746485482626
"NC344",-5.78782606130989
"NC346",-5.84524842940676
"NC348",-5.7410364814981
"NC352",-5.9174882999088
"NC356",-5.86541875009103
"NC358",-5.81232723390665
"NC360",-5.64805049429587
"NC362",-5.70432577985907
"NC364",-5.84557159776261
"NC366",-5.76485823177635
"NC368",-5.83918850982803
"NC370",-5.80876058644425
"NC372",-5.81691920609028
"ND246",-5.8496398561807
"OH40B",-5.81906351940247
"OH43",-5.70695419765498
"OH43E",-5.73290020914598
"OH603",-5.87150970767976
"OH7B",-5.92109009206721
"OS420",-5.71510265885148
"P39",-5.87219120823177
"PA762",-5.83590775326743
"PA875",-5.85831602472824
"PA880",-5.8965298978462
"PA91",-5.59316986919417
"R168",-5.79840882927645
"R177",-5.63004808655543
"R229",-5.83293755431818
"R4",-5.60054395787729
"SA24",-5.80908340124693
"SC357",-5.84031757344481
"SC55",-5.90421528745219
"SD40",-5.75506587063862
"SD44",-5.90006017317515
"SG1533",-5.58841325772099
"SG18",-5.8539993975843
"T232",-5.75210798283686
"T234",-5.72265229764451
"T8",-5.79432402065628
"TX601",-5.802989938414
"TZI10",-5.78397730169243
"TZI11",-5.93278475753023
"TZI18",-5.84312899395149
"TZI25",-5.70081317541203
"TZI8",-5.60264066188266
"TZI9",-5.80564168038325
"VA102",-5.8690464647625
"VA22",-5.75640360127415
"VA26",-5.83247522390556
"VA35",-5.84535021900721
"VA59",-5.94212400243284
"VA85",-5.79699793649605
"VA99",-5.69770927650917
"VAW6",-5.80105628935457
"W117HT",-5.6853942984331
"W153R",-5.76850491529308
"W182B",-5.72980631056547
"W22",-5.71648685857749
"W401",-5.82087995376033
"W64A",-5.90269346741942
"WF9",-5.6479675032594
