HAV,N_treatment
HAV_4825,std_N
HAV_4826,std_N
HAV_4827,std_N
HAV_4828,std_N
HAV_4829,std_N
HAV_4830,std_N
HAV_4831,std_N
HAV_4832,std_N
HAV_4833,std_N
HAV_4834,std_N
HAV_4835,std_N
HAV_4836,std_N
HAV_4837,std_N
HAV_4838,std_N
HAV_4839,std_N
HAV_4840,std_N
HAV_4841,std_N
HAV_4842,std_N
HAV_4843,std_N
HAV_4844,std_N
HAV_4845,std_N
HAV_4846,std_N
HAV_4847,std_N
HAV_4848,std_N
HAV_4849,std_N
HAV_4850,std_N
HAV_4851,std_N
HAV_4852,std_N
HAV_4853,std_N
HAV_4854,std_N
HAV_4855,std_N
HAV_4856,std_N
HAV_4857,std_N
HAV_4858,std_N
HAV_4859,std_N
HAV_4860,std_N
HAV_4861,std_N
HAV_4862,std_N
HAV_4863,std_N
HAV_4864,std_N
HAV_4865,std_N
HAV_4866,std_N
HAV_4867,std_N
HAV_4868,std_N
HAV_4869,std_N
HAV_4870,std_N
HAV_4871,std_N
HAV_4872,std_N
HAV_4873,std_N
HAV_4874,std_N
HAV_4875,std_N
HAV_4876,std_N
HAV_4877,std_N
HAV_4878,std_N
HAV_4879,std_N
HAV_4880,std_N
HAV_4881,std_N
HAV_4882,std_N
HAV_4883,std_N
HAV_4884,std_N
HAV_4885,std_N
HAV_4886,std_N
HAV_4887,std_N
HAV_4888,std_N
HAV_4889,std_N
HAV_4890,std_N
HAV_4891,std_N
HAV_4892,std_N
HAV_4893,std_N
HAV_4894,std_N
HAV_4895,std_N
HAV_4896,std_N
HAV_4897,std_N
HAV_4898,std_N
HAV_4899,std_N
HAV_4900,std_N
HAV_4901,std_N
HAV_4902,std_N
HAV_4903,std_N
HAV_4904,std_N
HAV_4905,std_N
HAV_4906,std_N
HAV_4907,std_N
HAV_4908,std_N
HAV_4909,std_N
HAV_4910,std_N
HAV_4911,std_N
HAV_4912,std_N
HAV_4913,std_N
HAV_4914,std_N
HAV_4915,std_N
HAV_4916,std_N
HAV_4917,std_N
HAV_4918,std_N
HAV_4919,std_N
HAV_4920,std_N
HAV_4921,std_N
HAV_4922,std_N
HAV_4923,std_N
HAV_4924,std_N
HAV_4925,std_N
HAV_4926,std_N
HAV_4927,std_N
HAV_4928,std_N
HAV_4929,std_N
HAV_4930,std_N
HAV_4931,std_N
HAV_4932,std_N
HAV_4933,std_N
HAV_4934,std_N
HAV_4935,std_N
HAV_4936,std_N
HAV_4937,std_N
HAV_4938,std_N
HAV_4939,std_N
HAV_4940,std_N
HAV_4941,std_N
HAV_4942,std_N
HAV_4943,std_N
HAV_4944,std_N
HAV_4945,std_N
HAV_4946,std_N
HAV_4947,std_N
HAV_4948,std_N
HAV_4949,std_N
HAV_4950,std_N
HAV_4951,std_N
HAV_4952,std_N
HAV_4953,std_N
HAV_4954,std_N
HAV_4955,std_N
HAV_4956,std_N
HAV_4957,std_N
HAV_4958,std_N
HAV_4959,std_N
HAV_4960,std_N
HAV_4961,std_N
HAV_4962,std_N
HAV_4963,std_N
HAV_4964,std_N
HAV_4965,std_N
HAV_4966,std_N
HAV_4967,std_N
HAV_4968,std_N
HAV_4969,std_N
HAV_4970,std_N
HAV_4971,std_N
HAV_4972,std_N
HAV_4973,std_N
HAV_4974,std_N
HAV_4975,std_N
HAV_4976,std_N
HAV_4977,std_N
HAV_4978,std_N
HAV_4979,std_N
HAV_4980,std_N
HAV_4981,std_N
HAV_4982,std_N
HAV_4983,std_N
HAV_4984,std_N
HAV_4985,std_N
HAV_4986,std_N
HAV_4987,std_N
HAV_4988,std_N
HAV_4989,std_N
HAV_4990,std_N
HAV_4991,std_N
HAV_4992,std_N
HAV_4993,std_N
HAV_4994,std_N
HAV_4995,std_N
HAV_4996,std_N
HAV_4997,std_N
HAV_4998,std_N
HAV_4999,std_N
HAV_5000,std_N
HAV_5001,std_N
HAV_5002,std_N
HAV_5003,std_N
HAV_5004,std_N
HAV_5005,std_N
HAV_5006,std_N
HAV_5007,std_N
HAV_5008,std_N
HAV_5009,std_N
HAV_5010,std_N
HAV_5011,std_N
HAV_5012,std_N
HAV_5013,std_N
HAV_5014,std_N
HAV_5015,std_N
HAV_5016,std_N
HAV_5017,std_N
HAV_5018,std_N
HAV_5019,std_N
HAV_5020,std_N
HAV_5021,std_N
HAV_5022,std_N
HAV_5023,std_N
HAV_5024,std_N
HAV_5025,std_N
HAV_5026,std_N
HAV_5027,std_N
HAV_5028,std_N
HAV_5029,std_N
HAV_5030,std_N
HAV_5031,std_N
HAV_5032,std_N
HAV_5033,std_N
HAV_5034,std_N
HAV_5035,std_N
HAV_5036,std_N
HAV_5037,std_N
HAV_5038,std_N
HAV_5039,std_N
HAV_5040,std_N
HAV_5041,std_N
HAV_5042,std_N
HAV_5043,std_N
HAV_5044,std_N
HAV_5045,std_N
HAV_5046,std_N
HAV_5047,std_N
HAV_5048,std_N
HAV_5049,std_N
HAV_5050,std_N
HAV_5051,std_N
HAV_5052,std_N
HAV_5053,std_N
HAV_5054,std_N
HAV_5055,std_N
HAV_5056,std_N
HAV_5057,std_N
HAV_5058,std_N
HAV_5059,std_N
HAV_5060,std_N
HAV_5061,std_N
HAV_5062,std_N
HAV_5063,std_N
HAV_5064,std_N
HAV_5065,std_N
HAV_5066,std_N
HAV_5067,std_N
HAV_5068,std_N
HAV_5069,std_N
HAV_5070,std_N
HAV_5071,std_N
HAV_5072,std_N
HAV_5073,std_N
HAV_5074,std_N
HAV_5075,std_N
HAV_5076,std_N
HAV_5077,std_N
HAV_5078,std_N
HAV_5079,std_N
HAV_5080,std_N
HAV_5081,std_N
HAV_5082,std_N
HAV_5083,std_N
HAV_5084,std_N
HAV_5085,std_N
HAV_5086,std_N
HAV_5087,std_N
HAV_5088,std_N
HAV_5089,std_N
HAV_5090,std_N
HAV_5091,std_N
HAV_5092,std_N
HAV_5093,std_N
HAV_5094,std_N
HAV_5095,std_N
HAV_5096,std_N
HAV_5097,std_N
HAV_5098,std_N
HAV_5099,std_N
HAV_5100,std_N
HAV_5101,std_N
HAV_5102,std_N
HAV_5103,std_N
HAV_5104,std_N
HAV_5105,std_N
HAV_5106,std_N
HAV_5107,std_N
HAV_5108,std_N
HAV_5109,std_N
HAV_5110,std_N
HAV_5111,std_N
HAV_5112,std_N
HAV_5113,std_N
HAV_5114,std_N
HAV_5115,std_N
HAV_5116,std_N
HAV_5117,std_N
HAV_5118,std_N
HAV_5119,std_N
HAV_5120,std_N
HAV_5121,std_N
HAV_5122,std_N
HAV_5123,std_N
HAV_5124,std_N
HAV_5125,std_N
HAV_5126,std_N
HAV_5127,std_N
HAV_5128,std_N
HAV_5129,std_N
HAV_5130,std_N
HAV_5131,std_N
HAV_5132,std_N
HAV_5133,std_N
HAV_5134,std_N
HAV_5135,std_N
HAV_5136,std_N
HAV_5137,std_N
HAV_5138,std_N
HAV_5139,std_N
HAV_5140,std_N
HAV_5141,std_N
HAV_5142,std_N
HAV_5143,std_N
HAV_5144,std_N
HAV_5145,std_N
HAV_5146,std_N
HAV_5147,std_N
HAV_5148,std_N
HAV_5149,std_N
HAV_5150,std_N
HAV_5151,std_N
HAV_5152,std_N
HAV_5153,std_N
HAV_5154,std_N
HAV_5155,std_N
HAV_5156,std_N
HAV_5157,std_N
HAV_5158,std_N
HAV_5159,std_N
HAV_5160,std_N
HAV_5161,std_N
HAV_5162,std_N
HAV_5163,std_N
HAV_5164,std_N
HAV_5165,std_N
HAV_5166,std_N
HAV_5167,std_N
HAV_5168,std_N
HAV_5169,std_N
HAV_5170,std_N
HAV_5171,std_N
HAV_5172,std_N
HAV_5173,std_N
HAV_5174,std_N
HAV_5175,std_N
HAV_5176,std_N
HAV_5177,std_N
HAV_5178,std_N
HAV_5179,std_N
HAV_5180,std_N
HAV_5181,std_N
HAV_5182,std_N
HAV_5183,std_N
HAV_5184,std_N
HAV_5185,std_N
HAV_5186,std_N
HAV_5187,std_N
HAV_5188,std_N
HAV_5189,std_N
HAV_5190,std_N
HAV_5191,std_N
HAV_5192,std_N
HAV_5193,std_N
HAV_5194,std_N
HAV_5195,std_N
HAV_5196,std_N
HAV_5197,std_N
HAV_5198,std_N
HAV_5199,std_N
HAV_5200,std_N
HAV_5201,std_N
HAV_5202,std_N
HAV_5203,std_N
HAV_5204,std_N
HAV_5205,std_N
HAV_5206,std_N
HAV_5207,std_N
HAV_5208,std_N
HAV_5209,std_N
HAV_5210,std_N
HAV_5211,std_N
HAV_5212,std_N
HAV_5213,std_N
HAV_5214,std_N
HAV_5215,std_N
HAV_5216,std_N
HAV_5217,std_N
HAV_5218,std_N
HAV_5219,std_N
HAV_5220,std_N
HAV_5221,std_N
HAV_5222,std_N
HAV_5223,std_N
HAV_5224,std_N
HAV_5225,std_N
HAV_5226,std_N
HAV_5227,std_N
HAV_5228,std_N
HAV_5229,std_N
HAV_5230,std_N
HAV_5231,std_N
HAV_5232,std_N
HAV_5233,std_N
HAV_5234,std_N
HAV_5235,std_N
HAV_5236,std_N
HAV_5237,std_N
HAV_5238,std_N
HAV_5239,std_N
HAV_5240,std_N
HAV_5241,std_N
HAV_5242,std_N
HAV_5243,std_N
HAV_5244,std_N
HAV_5245,std_N
HAV_5246,std_N
HAV_5247,std_N
HAV_5248,std_N
HAV_5249,std_N
HAV_5250,std_N
HAV_5251,std_N
HAV_5252,std_N
HAV_5253,std_N
HAV_5254,std_N
HAV_5255,std_N
HAV_5256,std_N
HAV_5257,std_N
HAV_5258,std_N
HAV_5259,std_N
HAV_5260,std_N
HAV_5261,std_N
HAV_5262,std_N
HAV_5263,std_N
HAV_5264,std_N
HAV_5265,std_N
HAV_5266,std_N
HAV_5267,std_N
HAV_5268,std_N
HAV_5269,std_N
HAV_5270,std_N
HAV_5271,std_N
HAV_5272,std_N
HAV_5273,std_N
HAV_5274,std_N
HAV_5275,std_N
HAV_5276,std_N
HAV_5277,std_N
HAV_5278,std_N
HAV_5279,std_N
HAV_5280,std_N
HAV_5281,std_N
HAV_5282,std_N
HAV_5283,std_N
HAV_5284,std_N
HAV_5285,std_N
HAV_5286,std_N
HAV_5287,std_N
HAV_5288,std_N
HAV_5289,std_N
HAV_5290,std_N
HAV_5291,std_N
HAV_5292,std_N
HAV_5293,std_N
HAV_5294,std_N
HAV_5295,std_N
HAV_5296,std_N
HAV_5297,std_N
HAV_5298,std_N
HAV_5299,std_N
HAV_5300,std_N
HAV_5301,std_N
HAV_5302,std_N
HAV_5303,std_N
HAV_5304,std_N
HAV_5305,std_N
HAV_5306,std_N
HAV_5307,std_N
HAV_5308,std_N
HAV_5309,std_N
HAV_5310,std_N
HAV_5311,std_N
HAV_5312,std_N
HAV_5313,std_N
HAV_5314,std_N
HAV_5315,std_N
HAV_5316,std_N
HAV_5317,std_N
HAV_5318,std_N
HAV_5319,std_N
HAV_5320,std_N
HAV_5321,std_N
HAV_5322,std_N
HAV_5323,std_N
HAV_5324,std_N
HAV_5325,std_N
HAV_5326,std_N
HAV_5327,std_N
HAV_5328,std_N
HAV_5329,std_N
HAV_5330,std_N
HAV_5331,std_N
HAV_5332,std_N
HAV_5333,std_N
HAV_5334,std_N
HAV_5335,std_N
HAV_5336,std_N
HAV_5337,std_N
HAV_5338,std_N
HAV_5339,std_N
HAV_5340,std_N
HAV_5341,std_N
HAV_5342,std_N
HAV_5343,std_N
HAV_5344,std_N
HAV_5345,std_N
HAV_5346,std_N
HAV_5347,std_N
HAV_5348,std_N
HAV_5349,std_N
HAV_5350,std_N
HAV_5351,std_N
HAV_5352,std_N
HAV_5353,std_N
HAV_5354,std_N
HAV_5355,std_N
HAV_5356,std_N
HAV_5357,std_N
HAV_5358,std_N
HAV_5359,std_N
HAV_5360,std_N
HAV_5361,std_N
HAV_5362,std_N
HAV_5363,std_N
HAV_5364,std_N
HAV_5365,std_N
HAV_5366,std_N
HAV_5367,std_N
HAV_5368,std_N
HAV_5369,std_N
HAV_5370,std_N
HAV_5371,std_N
HAV_5372,std_N
HAV_5373,std_N
HAV_5374,std_N
HAV_5375,std_N
HAV_5376,std_N
HAV_5377,std_N
HAV_5378,std_N
HAV_5379,std_N
HAV_5380,std_N
HAV_5381,std_N
HAV_5382,std_N
HAV_5383,std_N
HAV_5384,std_N
HAV_5385,std_N
HAV_5386,std_N
HAV_5387,std_N
HAV_5388,std_N
HAV_5389,std_N
HAV_5390,std_N
HAV_5391,std_N
HAV_5392,std_N
HAV_5393,std_N
HAV_5394,std_N
HAV_5395,std_N
HAV_5396,std_N
HAV_5397,std_N
HAV_5398,std_N
HAV_5399,std_N
HAV_5400,std_N
HAV_5401,std_N
HAV_5402,std_N
HAV_5403,std_N
HAV_5404,std_N
HAV_5405,std_N
HAV_5406,std_N
HAV_5407,std_N
HAV_5408,std_N
HAV_5409,std_N
HAV_5410,std_N
HAV_5411,std_N
HAV_5412,std_N
HAV_5413,std_N
HAV_5414,std_N
HAV_5415,std_N
HAV_5416,std_N
HAV_5417,std_N
HAV_5418,std_N
HAV_5419,std_N
HAV_5420,std_N
HAV_5421,std_N
HAV_5422,std_N
HAV_5423,std_N
HAV_5424,std_N
HAV_5425,std_N
HAV_5426,std_N
HAV_5427,std_N
HAV_5428,std_N
HAV_5429,std_N
HAV_5430,std_N
HAV_5431,std_N
HAV_5432,std_N
