Mean,SD,par,file,trait
0.000663,0.000754,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000001.parRes,asv_000001
552.515686,628.923584,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000001.parRes,asv_000001
3e-05,4.6e-05,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000001.parRes,asv_000001
-0.698001,0.825169,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000001.parRes,asv_000001
0.009682,0.004168,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000001.parRes,asv_000001
0.006862,0.004147,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000001.parRes,asv_000001
0.413985,0.245705,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000001.parRes,asv_000001
0.000551,0.000547,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000009.parRes,asv_000009
458.905212,456.248535,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000009.parRes,asv_000009
1.3e-05,1.6e-05,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000009.parRes,asv_000009
0.322378,0.848385,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000009.parRes,asv_000009
0.01501,0.001894,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000009.parRes,asv_000009
0.000789,0.001186,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000009.parRes,asv_000009
0.049897,0.074127,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000009.parRes,asv_000009
0.001072,0.000889,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000013.parRes,asv_000013
894.46991,741.848816,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000013.parRes,asv_000013
2.6e-05,4e-05,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000013.parRes,asv_000013
0.239192,0.659113,S,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000013.parRes,asv_000013
0.007593,0.002088,ResVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000013.parRes,asv_000013
0.002154,0.001961,GenVar,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000013.parRes,asv_000013
0.220965,0.198785,hsq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000013.parRes,asv_000013
0.026006,0.048075,Pi,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000031.parRes,asv_000031
21714.039062,40142.753906,NnzSnp,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000031.parRes,asv_000031
0.000304,0.00046,SigmaSq,/common/jyanglab/shared/Gen_Xu/282_GCTB/microbe_from_Mike/HN/asv_000031.parRes,asv_000031
