Mean,SD,par,trait
0.002699,0.002704,Pi,asv_000001
2020.992798,2025.734985,NnzSnp,asv_000001
6e-06,1.1e-05,SigmaSq,asv_000001
-1.209712,0.592319,S,asv_000001
0.005663,0.00329,ResVar,asv_000001
0.009785,0.003376,GenVar,asv_000001
0.632469,0.211866,hsq,asv_000001
0.001888,0.001883,Pi,asv_000009
1413.575317,1410.058228,NnzSnp,asv_000009
2e-06,2e-06,SigmaSq,asv_000009
0.071325,0.850684,S,asv_000009
0.012518,0.0017,ResVar,asv_000009
0.000676,0.001185,GenVar,asv_000009
0.05125,0.089204,hsq,asv_000009
0.004646,0.003705,Pi,asv_000013
3479.587891,2774.701172,NnzSnp,asv_000013
9e-06,1.8e-05,SigmaSq,asv_000013
-0.146962,0.670434,S,asv_000013
0.007151,0.002797,ResVar,asv_000013
0.003536,0.00274,GenVar,asv_000013
0.330454,0.252768,hsq,asv_000013
0.002172,0.002157,Pi,asv_000031
1626.231812,1615.836182,NnzSnp,asv_000031
6e-06,7e-06,SigmaSq,asv_000031
-0.047321,0.976497,S,asv_000031
0.019132,0.004955,ResVar,asv_000031
0.003183,0.0046,GenVar,asv_000031
0.142525,0.204748,hsq,asv_000031
0.001938,0.001924,Pi,asv_000041
1451.091187,1440.885742,NnzSnp,asv_000041
1e-06,1e-06,SigmaSq,asv_000041
-0.098359,0.838905,S,asv_000041
0.003084,0.000538,ResVar,asv_000041
0.000277,0.000448,GenVar,asv_000041
0.082301,0.131821,hsq,asv_000041
0.002349,0.002033,Pi,asv_000059
1758.883179,1523.18689,NnzSnp,asv_000059
2e-06,5e-06,SigmaSq,asv_000059
0.156341,0.799089,S,asv_000059
0.006637,0.000979,ResVar,asv_000059
0.000559,0.000741,GenVar,asv_000059
0.077636,0.10147,hsq,asv_000059
0.003431,0.002782,Pi,asv_000077
2569.684082,2083.607666,NnzSnp,asv_000077
1.1e-05,1.4e-05,SigmaSq,asv_000077
-0.471174,0.853992,S,asv_000077
0.031705,0.012236,ResVar,asv_000077
0.013934,0.011994,GenVar,asv_000077
0.304663,0.258993,hsq,asv_000077
0.002308,0.002225,Pi,asv_000095
1728.4104,1666.682373,NnzSnp,asv_000095
4e-06,6e-06,SigmaSq,asv_000095
-0.263872,0.897722,S,asv_000095
0.032869,0.006906,ResVar,asv_000095
0.003946,0.006117,GenVar,asv_000095
0.107155,0.164871,hsq,asv_000095
0.001893,0.001933,Pi,asv_000112
1417.187622,1447.986084,NnzSnp,asv_000112
1e-06,2e-06,SigmaSq,asv_000112
0.012317,0.838212,S,asv_000112
0.004738,0.000661,ResVar,asv_000112
0.000253,0.000467,GenVar,asv_000112
0.05065,0.092882,hsq,asv_000112
0.0032,0.002425,Pi,asv_000155
2395.967041,1815.703247,NnzSnp,asv_000155
1e-06,1e-06,SigmaSq,asv_000155
-0.79528,0.697914,S,asv_000155
0.001364,0.000716,ResVar,asv_000155
0.001047,0.000715,GenVar,asv_000155
0.433277,0.292297,hsq,asv_000155
0.002065,0.001967,Pi,asv_000160
1545.953003,1473.468506,NnzSnp,asv_000160
1e-06,1e-06,SigmaSq,asv_000160
0.084943,0.898997,S,asv_000160
0.00428,0.000689,ResVar,asv_000160
0.000311,0.00055,GenVar,asv_000160
0.067703,0.118299,hsq,asv_000160
0.001922,0.001906,Pi,asv_000162
1438.745483,1427.581665,NnzSnp,asv_000162
3e-06,4e-06,SigmaSq,asv_000162
0.210832,0.882142,S,asv_000162
0.013882,0.001816,ResVar,asv_000162
0.000689,0.001201,GenVar,asv_000162
0.047303,0.081628,hsq,asv_000162
0.003632,0.003086,Pi,asv_000183
2720.091064,2311.280273,NnzSnp,asv_000183
1.4e-05,3.7e-05,SigmaSq,asv_000183
-0.091891,0.705239,S,asv_000183
0.025255,0.006161,ResVar,asv_000183
0.005536,0.005671,GenVar,asv_000183
0.17978,0.181806,hsq,asv_000183
0.001987,0.001878,Pi,asv_000189
1487.847656,1406.099365,NnzSnp,asv_000189
2e-06,3e-06,SigmaSq,asv_000189
-0.010827,0.826661,S,asv_000189
0.007842,0.001297,ResVar,asv_000189
0.000617,0.00103,GenVar,asv_000189
0.073036,0.121124,hsq,asv_000189
0.002971,0.002551,Pi,asv_000191
2224.325928,1910.875732,NnzSnp,asv_000191
8e-06,1.2e-05,SigmaSq,asv_000191
-0.067574,0.729036,S,asv_000191
0.021991,0.00414,ResVar,asv_000191
0.003247,0.003606,GenVar,asv_000191
0.128392,0.140514,hsq,asv_000191
0.002653,0.002382,Pi,asv_000196
1987.141968,1783.902222,NnzSnp,asv_000196
1e-06,3e-06,SigmaSq,asv_000196
-0.011812,0.741882,S,asv_000196
0.003491,0.000654,ResVar,asv_000196
0.000458,0.000557,GenVar,asv_000196
0.116036,0.139797,hsq,asv_000196
0.002591,0.002394,Pi,asv_000217
1940.316772,1793.307373,NnzSnp,asv_000217
1e-06,1e-06,SigmaSq,asv_000217
-0.295103,0.814283,S,asv_000217
0.005119,0.001181,ResVar,asv_000217
