Mean,SD,par,trait
0.002086,0.001623,Pi,asv_000001
1561.548218,1215.438354,NnzSnp,asv_000001
3.7e-05,5.5e-05,SigmaSq,asv_000001
-0.57964,0.608963,S,asv_000001
0.02273,0.010579,ResVar,asv_000001
0.018017,0.010582,GenVar,asv_000001
0.441201,0.25476,hsq,asv_000001
0.001573,0.001703,Pi,asv_000009
1177.801636,1275.216309,NnzSnp,asv_000009
2e-06,5e-06,SigmaSq,asv_000009
-0.034923,0.828699,S,asv_000009
0.007251,0.001233,ResVar,asv_000009
0.000564,0.000998,GenVar,asv_000009
0.072177,0.126811,hsq,asv_000009
0.002103,0.001745,Pi,asv_000013
1574.540649,1306.863403,NnzSnp,asv_000013
7e-06,1.4e-05,SigmaSq,asv_000013
-0.342507,0.865286,S,asv_000013
0.009044,0.003511,ResVar,asv_000013
0.003717,0.003432,GenVar,asv_000013
0.290734,0.26562,hsq,asv_000013
0.001402,0.001429,Pi,asv_000041
1049.585571,1069.635986,NnzSnp,asv_000041
1e-06,2e-06,SigmaSq,asv_000041
0.142006,0.939762,S,asv_000041
0.010822,0.001397,ResVar,asv_000041
0.000392,0.000895,GenVar,asv_000041
0.034918,0.079079,hsq,asv_000041
0.001767,0.001685,Pi,asv_000049
1322.508179,1261.533203,NnzSnp,asv_000049
3e-06,4e-06,SigmaSq,asv_000049
0.071566,0.953579,S,asv_000049
0.018326,0.003186,ResVar,asv_000049
0.001394,0.002588,GenVar,asv_000049
0.070895,0.130854,hsq,asv_000049
0.001668,0.001516,Pi,asv_000059
1248.76123,1135.157227,NnzSnp,asv_000059
3e-06,4e-06,SigmaSq,asv_000059
0.156524,0.872125,S,asv_000059
0.010698,0.00161,ResVar,asv_000059
0.000757,0.001203,GenVar,asv_000059
0.066144,0.10419,hsq,asv_000059
0.001385,0.001402,Pi,asv_000077
1036.456543,1049.432861,NnzSnp,asv_000077
3e-06,4e-06,SigmaSq,asv_000077
0.153111,0.896478,S,asv_000077
0.01088,0.001587,ResVar,asv_000077
0.000623,0.001155,GenVar,asv_000077
0.054142,0.099591,hsq,asv_000077
0.0016,0.001444,Pi,asv_000095
1197.448975,1081.656494,NnzSnp,asv_000095
1.1e-05,1.5e-05,SigmaSq,asv_000095
-0.068207,0.925237,S,asv_000095
0.028869,0.006763,ResVar,asv_000095
0.004222,0.006138,GenVar,asv_000095
0.127536,0.184009,hsq,asv_000095
0.003052,0.002436,Pi,asv_000112
2285.935791,1824.327881,NnzSnp,asv_000112
1.7e-05,2.8e-05,SigmaSq,asv_000112
-0.702972,0.618156,S,asv_000112
0.006764,0.00381,ResVar,asv_000112
0.010777,0.003899,GenVar,asv_000112
0.613423,0.215155,hsq,asv_000112
0.002263,0.001906,Pi,asv_000155
1694.263428,1427.425049,NnzSnp,asv_000155
3e-06,5e-06,SigmaSq,asv_000155
-0.676573,0.772819,S,asv_000155
0.002102,0.001153,ResVar,asv_000155
0.001994,0.001155,GenVar,asv_000155
0.48594,0.277366,hsq,asv_000155
0.001741,0.001761,Pi,asv_000162
1303.160034,1318.698975,NnzSnp,asv_000162
5e-06,1.5e-05,SigmaSq,asv_000162
-0.048306,0.929969,S,asv_000162
0.017934,0.003416,ResVar,asv_000162
0.001976,0.002914,GenVar,asv_000162
0.099285,0.145238,hsq,asv_000162
0.004151,0.002266,Pi,asv_000183
3108.747314,1696.350586,NnzSnp,asv_000183
0.000224,0.000241,SigmaSq,asv_000183
0.438704,0.557265,S,asv_000183
0.017904,0.006299,ResVar,asv_000183
0.041783,0.007271,GenVar,asv_000183
0.699019,0.106462,hsq,asv_000183
0.001714,0.001647,Pi,asv_000189
1283.295044,1233.439819,NnzSnp,asv_000189
0,0,SigmaSq,asv_000189
-0.127535,0.979959,S,asv_000189
0.000303,7e-05,ResVar,asv_000189
4.4e-05,6.4e-05,GenVar,asv_000189
0.125973,0.183055,hsq,asv_000189
0.002324,0.001744,Pi,asv_000191
1739.703369,1305.875,NnzSnp,asv_000191
1.5e-05,3.5e-05,SigmaSq,asv_000191
-0.082143,0.649361,S,asv_000191
0.020114,0.00396,ResVar,asv_000191
0.003616,0.003492,GenVar,asv_000191
0.152112,0.14456,hsq,asv_000191
0.002052,0.001902,Pi,asv_000196
1535.803345,1424.550415,NnzSnp,asv_000196
2e-06,3e-06,SigmaSq,asv_000196
-0.066249,0.782324,S,asv_000196
0.007051,0.001401,ResVar,asv_000196
0.000794,0.001222,GenVar,asv_000196
0.101169,0.154076,hsq,asv_000196
0.001084,0.001251,Pi,asv_000217
811.41272,937.344971,NnzSnp,asv_000217
6e-06,6.1e-05,SigmaSq,asv_000217
-0.858558,1.252616,S,asv_000217
0.01225,0.006342,ResVar,asv_000217
0.006106,0.006258,GenVar,asv_000217
0.33201,0.338121,hsq,asv_000217
0.003642,0.002337,Pi,asv_000237
2726.539307,1749.272217,NnzSnp,asv_000237
4e-05,5.4e-05,SigmaSq,asv_000237
-0.218449,0.587329,S,asv_000237
0.013857,0.006496,ResVar,asv_000237
0.014451,0.006648,GenVar,asv_000237
0.508846,0.227543,hsq,asv_000237
0.001544,0.001326,Pi,asv_000245
1156.081177,992.956299,NnzSnp,asv_000245
3e-06,4e-06,SigmaSq,asv_000245
-0.932931,1.013428,S,asv_000245
0.01014,0.006331,ResVar,asv_000245
0.007914,0.006306,GenVar,asv_000245
0.437449,0.346041,hsq,asv_000245
0.001361,0.001404,Pi,asv_000246
1018.750183,1051.097046,NnzSnp,asv_000246
0,0,SigmaSq,asv_000246
0.006657,0.928684,S,asv_000246
0.001667,0.000267,ResVar,asv_000246
0.00012,0.000213,GenVar,asv_000246
0.067049,0.117348,hsq,asv_000246
0.001549,0.001792,Pi,asv_000251
1159.140625,1342.172729,NnzSnp,asv_000251
1e-06,2e-06,SigmaSq,asv_000251
0.067177,0.835496,S,asv_000251
0.003877,0.000587,ResVar,asv_000251
0.000258,0.000442,GenVar,asv_000251
0.062274,0.105955,hsq,asv_000251
0.000316,0.000643,Pi,asv_000260
235.414825,481.382935,NnzSnp,asv_000260
9e-06,2e-05,SigmaSq,asv_000260
-1.919197,0.68597,S,asv_000260
0.010088,0.005211,ResVar,asv_000260
0.014372,0.005344,GenVar,asv_000260
0.586525,0.21148,hsq,asv_000260
0.002205,0.001637,Pi,asv_000272
1651.358032,1225.603638,NnzSnp,asv_000272
4.5e-05,6.5e-05,SigmaSq,asv_000272
-0.864042,0.609718,S,asv_000272
0.070346,0.033498,ResVar,asv_000272
0.051831,0.03352,GenVar,asv_000272
0.423015,0.269378,hsq,asv_000272
0.000908,0.001321,Pi,asv_000281
679.346619,989.421692,NnzSnp,asv_000281
5e-06,9e-06,SigmaSq,asv_000281
-1.631102,0.629609,S,asv_000281
0.003075,0.001832,ResVar,asv_000281
0.006992,0.001916,GenVar,asv_000281
0.693582,0.182211,hsq,asv_000281
0.001467,0.001531,Pi,asv_000294
1097.864868,1145.878418,NnzSnp,asv_000294
1e-06,2e-06,SigmaSq,asv_000294
0.174333,0.827027,S,asv_000294
0.003743,0.000464,ResVar,asv_000294
0.000155,0.000279,GenVar,asv_000294
0.039839,0.070937,hsq,asv_000294
0.001457,0.001493,Pi,asv_000311
1090.626709,1118.130615,NnzSnp,asv_000311
0,1e-06,SigmaSq,asv_000311
0.00826,0.891774,S,asv_000311
0.002744,0.000445,ResVar,asv_000311
0.000164,0.000355,GenVar,asv_000311
0.056441,0.120921,hsq,asv_000311
0.003346,0.002161,Pi,asv_000322
2505.448242,1617.861816,NnzSnp,asv_000322
1.2e-05,2e-05,SigmaSq,asv_000322
-0.530538,0.563606,S,asv_000322
0.003667,0.001778,ResVar,asv_000322
0.005973,0.001863,GenVar,asv_000322
0.618292,0.184368,hsq,asv_000322
0.003605,0.002254,Pi,asv_000330
2699.65332,1687.607666,NnzSnp,asv_000330
2.8e-05,4.2e-05,SigmaSq,asv_000330
-0.101328,0.57576,S,asv_000330
0.010153,0.003496,ResVar,asv_000330
0.007822,0.00358,GenVar,asv_000330
0.433444,0.191323,hsq,asv_000330
0.00335,0.002004,Pi,asv_000341
2509.207031,1500.817383,NnzSnp,asv_000341
3e-05,5e-05,SigmaSq,asv_000341
-0.182406,0.534671,S,asv_000341
0.00303,0.001518,ResVar,asv_000341
0.007526,0.001652,GenVar,asv_000341
0.711813,0.145041,hsq,asv_000341
0.002033,0.001713,Pi,asv_000369
1521.637451,1282.529419,NnzSnp,asv_000369
1e-06,2e-06,SigmaSq,asv_000369
-0.246695,0.820517,S,asv_000369
0.003662,0.000886,ResVar,asv_000369
0.000614,0.000814,GenVar,asv_000369
0.143371,0.188188,hsq,asv_000369
0.002174,0.00201,Pi,asv_000396
1627.692383,1506.147949,NnzSnp,asv_000396
1e-06,2e-06,SigmaSq,asv_000396
-0.890959,0.787926,S,asv_000396
0.001708,0.000867,ResVar,asv_000396
0.001118,0.00086,GenVar,asv_000396
0.394873,0.300542,hsq,asv_000396
0.002737,0.00195,Pi,asv_000406
2049.33252,1460.452881,NnzSnp,asv_000406
7e-06,1e-05,SigmaSq,asv_000406
-0.932488,0.626868,S,asv_000406
0.007105,0.004444,ResVar,asv_000406
0.009676,0.004493,GenVar,asv_000406
0.575617,0.262271,hsq,asv_000406
0.003695,0.002315,Pi,asv_000431
2767.446777,1733.496582,NnzSnp,asv_000431
4e-05,5.3e-05,SigmaSq,asv_000431
0.06641,0.549525,S,asv_000431
0.01231,0.003781,ResVar,asv_000431
0.009174,0.003888,GenVar,asv_000431
0.425352,0.172717,hsq,asv_000431
0.001296,0.00139,Pi,asv_000470
970.013794,1040.985596,NnzSnp,asv_000470
8e-06,1.2e-05,SigmaSq,asv_000470
0.087161,0.82864,S,asv_000470
0.018923,0.002874,ResVar,asv_000470
0.001385,0.002179,GenVar,asv_000470
0.068137,0.106163,hsq,asv_000470
0.001759,0.001765,Pi,asv_000473
1316.722412,1321.507446,NnzSnp,asv_000473
3e-06,5e-06,SigmaSq,asv_000473
-1.308742,0.609221,S,asv_000473
0.002831,0.002072,ResVar,asv_000473
0.005508,0.002115,GenVar,asv_000473
0.65947,0.247822,hsq,asv_000473
0.002753,0.002165,Pi,asv_000487
2061.320801,1621.297607,NnzSnp,asv_000487
4e-06,7e-06,SigmaSq,asv_000487
-0.096455,0.725689,S,asv_000487
0.004773,0.001174,ResVar,asv_000487
0.0012,0.001094,GenVar,asv_000487
0.200579,0.179681,hsq,asv_000487
0.001343,0.001231,Pi,asv_000492
1004.996887,921.986328,NnzSnp,asv_000492
4e-06,6e-06,SigmaSq,asv_000492
0.103335,0.87371,S,asv_000492
0.01423,0.002159,ResVar,asv_000492
0.000937,0.001628,GenVar,asv_000492
0.0618,0.106664,hsq,asv_000492
0.002299,0.001819,Pi,asv_000498
1721.425171,1361.64624,NnzSnp,asv_000498
1.4e-05,2.4e-05,SigmaSq,asv_000498
0.028409,0.7322,S,asv_000498
0.013915,0.00302,ResVar,asv_000498
0.002948,0.002721,GenVar,asv_000498
0.174712,0.159062,hsq,asv_000498
0.001793,0.001792,Pi,asv_000511
1342.391968,1342.392212,NnzSnp,asv_000511
0,1e-06,SigmaSq,asv_000511
-0.085245,0.939126,S,asv_000511
0.001051,0.000253,ResVar,asv_000511
0.000148,0.00023,GenVar,asv_000511
0.123659,0.190791,hsq,asv_000511
0.00345,0.002227,Pi,asv_000529
2583.299072,1668.016357,NnzSnp,asv_000529
0.000342,0.000752,SigmaSq,asv_000529
-0.531097,0.684328,S,asv_000529
0.143681,0.078686,ResVar,asv_000529
0.178141,0.079949,GenVar,asv_000529
0.552412,0.241889,hsq,asv_000529
0.003335,0.0019,Pi,asv_000544
2497.126465,1422.728394,NnzSnp,asv_000544
3.8e-05,5.2e-05,SigmaSq,asv_000544
-0.023964,0.619675,S,asv_000544
0.012705,0.004223,ResVar,asv_000544
0.009243,0.004292,GenVar,asv_000544
0.419628,0.188078,hsq,asv_000544
0.002334,0.001831,Pi,asv_000549
1747.408447,1370.907227,NnzSnp,asv_000549
1e-05,1.6e-05,SigmaSq,asv_000549
-0.982497,0.531814,S,asv_000549
0.004227,0.002598,ResVar,asv_000549
0.009674,0.002715,GenVar,asv_000549
0.694876,0.187188,hsq,asv_000549
0.002918,0.002,Pi,asv_000551
