trait,Mean,SD,par,tax_group,ability,ref
asv_001416,-2.593276,0.302959,S,Pseudomonas umsongensis,,
asv_001659,-2.588035,0.363907,S,Pseudomonas thivervalensis,pgp?,BTEX biodegradation and its nitrogen removal potential by a newly isolated Pseudomonas thivervalensis strain MAH1
asv_002780,-2.570807,0.216128,S,Ellin6067,,
asv_001649,-2.560139,0.523056,S,Chryseobacterium gleum,,
asv_001529,-2.550125,0.480689,S,Pseudomonas chlororaphis,pgp,2R,3R-Butanediol, a Bacterial Volatile Produced by Pseudomonas chlororaphis O6, Is Involved in Induction of Systemic Tolerance to Drought in Arabidopsis thaliana
asv_014370,-2.530851,0.344002,S,Burkholderia sp 3,,
asv_001978,-2.522615,0.221156,S,Salmonella bongori,,
asv_002692,-2.513856,0.279133,S,Flavobacterium anatoliense,,
asv_002768,-2.461765,0.709234,S,Neorhizobium,,
asv_002309,-2.460327,0.573782,S,Dyadobacter fermentans 2,,
asv_001141,-2.432624,0.886373,S,Chryseobacterium joostei,,
asv_002841,-2.187683,1.144977,S,Delftia tsuruhatensis,,
asv_003343,-2.085068,1.033789,S,Arthrobacter ramosus,,
asv_002743,-1.871669,1.10997,S,Chitinophaga filiformis,,
asv_000001,-1.209712,0.592319,S,Ralstonia pickettii,,
asv_001888,-1.193031,1.57216,S,Chryseobacterium sp 1,,
asv_001834,-1.040397,1.408302,S,Herbaspirillum huttiense,pgp?,Real-Time PCR Quantification of the Plant Growth Promoting Bacteria Herbaspirillum seropedicae Strain SmR1 in Maize Roots
asv_002136,-0.909959,1.24238,S,Pedobacter agri,,
asv_002358,-0.867293,0.488451,S,f_WD2101 soil group,,
asv_001052,-0.821275,1.220703,S,Chryseobacterium indologenes,,
asv_000155,-0.79528,0.697914,S,Mucilaginibacter gossypii,,
asv_000559,-0.730451,0.519441,S,f_Sphingomonadaceae Unknown Genus,,
asv_000860,-0.67183,0.842921,S,Skermanella,,
asv_004447,-0.626532,1.534682,S,Variovorax soli,,
asv_001806,-0.61351,0.743578,S,Mucilaginibacter ximonensis,pgp?,Mucilaginibacter gossypii sp. nov. and Mucilaginibacter gossypiicola sp. nov., plant-growth-promoting bacteria isolated from cotton rhizosphere soils
asv_000396,-0.587134,0.883182,S,Mesorhizobium huakuii,pgp,… overexpression of quorum-sensing regulators to study cell-density-dependent phenotypes in a symbiotic plant bacterium Mesorhizobium huakuii
asv_003250,-0.560598,1.217846,S,Bryobacter,,
asv_001244,-0.53903,0.825082,S,Galbitalea,,
asv_001167,-0.524259,0.772035,S,Chitinophaga polysaccharea,,
asv_003033,-0.504896,0.864928,S,Luteibacter yeojuensis,,
asv_001255,-0.474852,0.801145,S,Nitrospira japonica,,
asv_000077,-0.471174,0.853992,S,Massilia putida,pgp?,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001916
asv_002354,-0.416225,0.807416,S,Methylobacterium brachiatum,,
asv_001657,-0.401985,0.935854,S,f_Sphingobacteriaceae Unknown Genus,,
asv_002166,-0.376262,1.047588,S,f_Xanthomonadaceae Unknown Genus,,
asv_001169,-0.371841,0.902589,S,Mycobacterium,,
asv_000920,-0.3478,0.703166,S,Rudaea,,
asv_000330,-0.327691,0.610627,S,Phenylobacterium muchangponense,,
asv_000217,-0.295103,0.814283,S,Variovorax paradoxus,pgp,The rhizobacterium Variovorax paradoxus 5C-2, containing ACC deaminase, promotes growth and development of Arabidopsis thaliana via an ethylene-dependent …
asv_000549,-0.282389,0.909356,S,Amycolatopsis mediterranei,,
asv_000095,-0.263872,0.897722,S,Acinetobacter nosocomialis,,
asv_000272,-0.260317,0.836903,S,Pantoea ananatis,pathogen,Pantoea ananatis: an unconventional plant pathogen
asv_001276,-0.255961,0.855041,S,Sphingomonas azotifigens-paucimobilis-leidyi,pgp?,Sphingomonas azotifigens sp. nov., a nitrogen-fixing bacterium isolated from the roots of Oryza sativa
asv_000529,-0.236541,0.708817,S,Burkholderia oklahomensis,,
asv_000251,-0.228711,0.748483,S,Dyella marensis,,
