trait,Mean,SD,par,tax_group,ability,ref,sval
asv_001888,-2.366946,0.658302,S,Chryseobacterium sp 1,,,-1.708644
asv_001529,-2.340133,0.388584,S,Pseudomonas chlororaphis,pgp,2R,3R-Butanediol, a Bacterial Volatile Produced by Pseudomonas chlororaphis O6, Is Involved in Induction of Systemic Tolerance to Drought in Arabidopsis thaliana,-1.951549
asv_003033,-2.331809,0.418263,S,Luteibacter yeojuensis,,,-1.913546
asv_001167,-2.320408,0.346052,S,Chitinophaga polysaccharea,,,-1.974356
asv_002841,-2.309282,0.522603,S,Delftia tsuruhatensis,,,-1.786679
asv_002692,-2.30767,0.510331,S,Flavobacterium anatoliense,,,-1.797339
asv_001978,-2.178849,0.895913,S,Salmonella bongori,,,-1.282936
asv_000260,-1.919197,0.68597,S,f_Comamonadaceae Unknown Genus,,,-1.233227
asv_000281,-1.631102,0.629609,S,Sphingoaurantiacus,,,-1.001493
asv_001875,-1.32041,1.042297,S,TM7a sp 1,,,-0.278113
asv_000473,-1.308742,0.609221,S,Streptomyces puniciscabiei-clavuligerus,pathogen?,Characterization of Potato Scab Pathogens (Streptomyces Species),-0.699521
asv_000549,-0.982497,0.531814,S,Amycolatopsis mediterranei,,,-0.450683
asv_000245,-0.932931,1.013428,S,Pseudomonas parafulva,pgp,Analysis of traits for biocontrol performance of Pseudomonas parafulva JBCS1880 against bacterial pustule in soybean plants,0.080497
asv_000406,-0.932488,0.626868,S,Massilia niabensis,,,-0.30562
asv_000396,-0.890959,0.787926,S,Mesorhizobium huakuii,pgp,… overexpression of quorum-sensing regulators to study cell-density-dependent phenotypes in a symbiotic plant bacterium Mesorhizobium huakuii,-0.103033
asv_000272,-0.864042,0.609718,S,Pantoea ananatis,pathogen,Pantoea ananatis: an unconventional plant pathogen,-0.254324
asv_000217,-0.858558,1.252616,S,Variovorax paradoxus,pgp,The rhizobacterium Variovorax paradoxus 5C-2, containing ACC deaminase, promotes growth and development of Arabidopsis thaliana via an ethylene-dependent …,0.394058
asv_002358,-0.790258,0.567057,S,f_WD2101 soil group,,,-0.223201
asv_001657,-0.716603,0.682175,S,f_Sphingobacteriaceae Unknown Genus,,,-0.034428
asv_000719,-0.715583,0.414106,S,Terriglobus,,,-0.301477
asv_001416,-0.715563,0.733798,S,Pseudomonas umsongensis,,,0.018235
asv_000112,-0.702972,0.618156,S,Burkholderia sp 2,,,-0.084816
asv_002353,-0.685198,1.410045,S,Chitinophaga pinensis,,,0.724847
asv_001323,-0.680171,0.811955,S,Niabella yanshanensis,,,0.131784
asv_000155,-0.676573,0.772819,S,Mucilaginibacter gossypii,,,0.0962460000000001
asv_002995,-0.643786,0.925072,S,Burkholderia sp 1,,,0.281286
asv_001294,-0.615787,0.635986,S,Chitinophaga sancti,,,0.0201990000000001
asv_001532,-0.583432,0.842596,S,Paraburkholderia caffeinilytica,pgp?,Paraburkholderia panacihumi sp. nov., an isolate from ginseng-cultivated soil, is antagonistic against root rot fungal pathogen,0.259164
asv_000001,-0.57964,0.608963,S,Ralstonia pickettii,,,0.029323
asv_000529,-0.531097,0.684328,S,Burkholderia oklahomensis,,,0.153231
asv_000322,-0.530538,0.563606,S,Kribbella karoonensis,,,0.0330680000000001
asv_002018,-0.50867,0.701093,S,Pelomonas saccharophila,,,0.192423
