ASV,stdN,lowN,total_counts,ratioN,Kingdom,Phylum,Class,Order,Family,Genus,Species,taxa,man_taxa
asv_007130,1399,3273,4672,0.427436603,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_005888,1378,4415,5793,0.31211778,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_003822,2406,6711,9117,0.358515869,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_008250,823,3070,3893,0.268078176,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_004820,1756,5482,7238,0.320321051,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_009182,1107,2305,3412,0.480260304,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_007176,1640,3002,4642,0.546302465,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_006039,1735,3920,5655,0.442602041,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_004561,2049,5613,7662,0.36504543,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_007544,1289,3087,4376,0.417557499,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_003716,2891,6472,9363,0.446693449,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_005231,1728,4881,6609,0.354025814,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_007357,2580,1925,4505,1.34025974,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_004092,5456,3071,8527,1.776619993,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_004233,2945,5279,8224,0.557870809,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
asv_003385,4027,6283,10310,0.640935859,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,sancti,Chitinophaga,Chitinophaga sancti
