Trait	Heritability
asv_000112	0.211798510077136
asv_002995	0
asv_000272	0.239487381034213
asv_001978	0.423133224180102
asv_000009	0.285231105497317
asv_000095	0.270400037420789
asv_000630	0
asv_004714	0.0168975324420827
asv_000049	0.0329180897458202
asv_000251	0.154166416684975
asv_003033	0.083398618931599
asv_002166	0.0619302763720314
asv_000920	0.144253449068124
asv_001749	0.0884735213087315
asv_000163	0
asv_001507	0.118366616486287
asv_000498	0.216524930913055
asv_000860	0.122607390156955
asv_000246	0.347502624347216
asv_000196	0.322681096488631
asv_000596	0.168017504327043
asv_001276	0.356471368737838
asv_000641	0.14469596079128
asv_000559	0.362507590979431
asv_000281	0.36308940854305
asv_000241	0.0897319677827771
asv_000041	0.199686806486089
asv_000013	0.409312887464413
asv_000411	0
asv_000396	0.405762236590302
asv_000330	0.461338682164163
asv_000986	0.241940058577521
asv_000791	0.105986506706692
asv_000544	0.216957208897272
asv_002768	0.100361260948259
asv_002354	0.105304331640308
asv_001446	0.0430978067024489
asv_001660	0.235980071376258
asv_000431	0.202337365227413
asv_001085	0
asv_003250	0.0141547732496334
asv_001255	0.164503186629203
asv_001204	0.0431514157958426
asv_004558	6.81739016024967e-09
asv_000552	0.0275889534738916
asv_001621	3.62132410219882e-10
asv_000719	0.0477358949586845
asv_000570	0.079690068892588
asv_000575	0.0774324048526503
asv_001312	0.00583003675522687
asv_001207	0.0902109355021385
asv_001232	0.124290097178194
asv_000906	0.210023575662203
asv_000191	0.457715067395868
asv_002358	0.292627559131971
asv_001649	0.192856512079092
asv_001141	0.0390265529283645
asv_001026	3.45122637833722e-09
asv_001888	0.00849124708922303
asv_001052	0.0585990177987804
asv_001319	0.231612213775602
asv_000483	0.0963601876710698
asv_002692	0.144937932202556
asv_000470	0.15697814380494
asv_000629	0.346593702892342
asv_002309	0.364963009152075
asv_000369	0.341476697567662
asv_001806	1.77908449234215e-08
asv_000155	0.115447836727374
asv_002136	5.32037489063204e-10
asv_001657	0.039330103211963
asv_002742	0.232896328147778
asv_001001	0.315988863816847
asv_001572	0.0652808562111778
asv_002796	6.7922179975862e-10
asv_002353	0.0388850214207571
asv_002743	0.164339078092601
asv_001183	0
asv_001294	0
asv_000162	0.175442488559751
asv_001167	0.0396947835995221
asv_000160	0.0970822218443959
asv_001323	0.26872721428228
asv_000672	0.315725841327216
asv_000711	0
asv_001140	0.00443672308071072
asv_000294	0.1080005527195
asv_000189	0.163458361168369
asv_001875	0.255604415316093
asv_001772	0.258115839583711
asv_000551	0.129949136134813
asv_001948	0
asv_000183	0.455902296601882
asv_001444	0
asv_001234	0
asv_000674	0.148452198867122
asv_001582	0.0991932432377116
asv_001667	0.180723634807636
asv_000322	0.470886882951206
asv_000511	0.361404797415296
asv_000669	0.218603358205854
asv_000492	6.04118218276779e-09
asv_001169	0.341560240202384
asv_000549	0.281181141539217
asv_001063	0
asv_001011	0.0100695372894794
asv_001347	0.236816341950609
asv_001244	0.234878030658307
asv_000311	0.0749363952134062
asv_001303	0.111907977219039
asv_000896	0.136154606122763
asv_000341	4.47167046909557e-08
asv_003343	0.280678441284585
asv_001466	0
asv_002172	0.188156354182813
asv_001073	0
asv_000473	0.217914264479591
asv_001416	0.0359910433237087
asv_000245	0
asv_001057	0.11623600880496
asv_001529	0.0966370237565604
asv_001659	0.205578466239002
asv_001448	0.385371871070978
asv_001840	0.146749353679009
asv_001993	0
asv_002205	0.198620510427724
asv_001532	3.60478827552564e-10
asv_000862	0.362542560827349
asv_000077	0.371003997127999
asv_000406	0
asv_000370	0.307693536445958
asv_001370	0
asv_000237	0.328501901311534
asv_001461	0
asv_002138	0
asv_000487	0.12421925044741
asv_000001	0.287473597844715
asv_001834	0.38255265191867
asv_002780	0.0796946696758737
asv_001292	0.218469141808869
asv_002018	0
asv_002841	0.186723514630383
asv_000217	0.188957694709736
asv_004447	0.109937155739329
asv_000260	0.330706552129881
asv_001499	0.142055292590433
asv_000529	0.34295817381812
asv_014370	0.163147703463224
asv_000059	0.117891960161718
asv_000031	0.315626991208602
