"ASV"	"Pi"	"sd_pi"	"S"	"sd_S"	"hsq"	"sd_hsq"	"tax_group"
"1"	"asv_000001"	0.002699	0.002704	-1.209712	0.592319	0.632469	0.211866	"Ralstonia pickettii"
"2"	"asv_000009"	0.001888	0.001883	0.071325	0.850684	0.05125	0.089204	"Enterobacter"
"3"	"asv_000013"	0.004646	0.003705	-0.146962	0.670434	0.330454	0.252768	"Sphingobium herbicidovorans 1"
"4"	"asv_000031"	0.002172	0.002157	-0.047321	0.976497	0.142525	0.204748	"Burkholderia pseudomallei"
"5"	"asv_000041"	0.001938	0.001924	-0.098359	0.838905	0.082301	0.131821	"Sphingobium herbicidovorans 2"
"6"	"asv_000059"	0.002349	0.002033	0.156341	0.799089	0.077636	0.10147	"Burkholderia vietnamiensis"
"7"	"asv_000077"	0.003431	0.002782	-0.471174	0.853992	0.304663	0.258993	"Massilia putida"
"8"	"asv_000095"	0.002308	0.002225	-0.263872	0.897722	0.107155	0.164871	"Acinetobacter nosocomialis"
"9"	"asv_000112"	0.001893	0.001933	0.012317	0.838212	0.05065	0.092882	"Burkholderia sp 2"
"10"	"asv_000155"	0.0032	0.002425	-0.79528	0.697914	0.433277	0.292297	"Mucilaginibacter gossypii"
"11"	"asv_000160"	0.002065	0.001967	0.084943	0.898997	0.067703	0.118299	"Chitinophaga arvensicola"
"12"	"asv_000162"	0.001922	0.001906	0.210832	0.882142	0.047303	0.081628	"Chitinophaga eiseniae"
"13"	"asv_000183"	0.003632	0.003086	-0.091891	0.705239	0.17978	0.181806	"Bacillus fumarioli"
"14"	"asv_000189"	0.001987	0.001878	-0.010827	0.826661	0.073036	0.121124	"TM7a sp 2"
"15"	"asv_000191"	0.002971	0.002551	-0.067574	0.729036	0.128392	0.140514	"Candidatus Udaeobacter copiosus"
"16"	"asv_000196"	0.002653	0.002382	-0.011812	0.741882	0.116036	0.139797	"Bradyrhizobium elkanii"
"17"	"asv_000217"	0.002591	0.002394	-0.295103	0.814283	0.125025	0.181459	"Variovorax paradoxus"
"18"	"asv_000237"	0.00261	0.002685	-0.069901	0.802249	0.11242	0.161651	"Pseudoduganella"
"19"	"asv_000246"	0.001784	0.002203	0.309541	0.814621	0.021592	0.03712	"Labrys miyagiensis"
"20"	"asv_000251"	0.002731	0.002314	-0.228711	0.748483	0.124062	0.161951	"Dyella marensis"
"21"	"asv_000260"	0.002404	0.00224	-0.204336	0.77092	0.115437	0.146434	"f_Comamonadaceae Unknown Genus"
"22"	"asv_000272"	0.002349	0.002154	-0.260317	0.836903	0.137182	0.187529	"Pantoea ananatis"
"23"	"asv_000281"	0.002115	0.002085	-0.020889	0.838633	0.097417	0.151979	"Sphingoaurantiacus"
"24"	"asv_000294"	0.002264	0.002175	-0.016836	0.812415	0.055446	0.103677	"f_LWQ8"
"25"	"asv_000311"	0.003139	0.002952	0.222523	0.780803	0.110109	0.133156	"Microbacterium testaceum"
"26"	"asv_000322"	0.002961	0.002782	0.043061	0.820333	0.10258	0.140526	"Kribbella karoonensis"
"27"	"asv_000330"	0.004622	0.003381	-0.327691	0.610627	0.533768	0.223859	"Phenylobacterium muchangponense"
"28"	"asv_000369"	0.002315	0.00211	0.114867	0.818016	0.062887	0.102921	"Sphingobacterium siyangense-multivorum"
"29"	"asv_000370"	0.002556	0.002182	-0.011861	0.882874	0.125319	0.166916	"Massilia varians"
"30"	"asv_000396"	0.002969	0.002316	-0.587134	0.883182	0.347015	0.305181	"Mesorhizobium huakuii"
"31"	"asv_000431"	0.002325	0.002375	0.005193	0.84905	0.07137	0.114954	"f_Vicinamibacteraceae"
"32"	"asv_000470"	0.001968	0.002096	0.159636	0.86604	0.039045	0.068391	"Dyadobacter fermentans 3"
"33"	"asv_000473"	0.002427	0.002277	0.005001	0.917943	0.08602	0.141637	"Streptomyces puniciscabiei-clavuligerus"
"34"	"asv_000483"	0.002544	0.002348	0.071785	0.854939	0.069036	0.099607	"Chryseobacterium sp 2"
"35"	"asv_000487"	0.001847	0.00179	0.235313	0.85179	0.029224	0.060517	"Achromobacter insolitus"
"36"	"asv_000498"	0.002205	0.002325	0.230742	0.942179	0.07822	0.132897	"Stenotrophomonas tumulicola"
"37"	"asv_000511"	0.001944	0.001913	0.144465	0.916382	0.04389	0.081733	"Marmoricola"
"38"	"asv_000529"	0.003857	0.002959	-0.236541	0.708817	0.345812	0.258593	"Burkholderia oklahomensis"
"39"	"asv_000544"	0.004316	0.002951	0.000878	0.632685	0.265981	0.198848	"Rhizobium daejeonense"
"40"	"asv_000549"	0.003212	0.002821	-0.282389	0.909356	0.254955	0.275055	"Amycolatopsis mediterranei"
"41"	"asv_000551"	0.001956	0.002026	0.17102	0.959517	0.049318	0.088955	"Bacillus aryabhattai"
