"ASV" "Pi" "sd_pi" "S" "sd_S" "hsq" "sd_hsq" "tax_group"
"1" "asv_000001" 0.002086 0.001623 -0.57964 0.608963 0.441201 0.25476 "Ralstonia pickettii"
"2" "asv_000009" 0.001573 0.001703 -0.034923 0.828699 0.072177 0.126811 "Enterobacter"
"3" "asv_000013" 0.002103 0.001745 -0.342507 0.865286 0.290734 0.26562 "Sphingobium herbicidovorans 1"
"4" "asv_000031" 0.062548 0.034723 -0.175972 0.357555 0.850832 0.064763 "Burkholderia pseudomallei"
"5" "asv_000041" 0.001402 0.001429 0.142006 0.939762 0.034918 0.079079 "Sphingobium herbicidovorans 2"
"6" "asv_000049" 0.001767 0.001685 0.071566 0.953579 0.070895 0.130854 "Dyella jiangningensis"
"7" "asv_000059" 0.001668 0.001516 0.156524 0.872125 0.066144 0.10419 "Burkholderia vietnamiensis"
"8" "asv_000077" 0.001385 0.001402 0.153111 0.896478 0.054142 0.099591 "Massilia putida"
"9" "asv_000095" 0.0016 0.001444 -0.068207 0.925237 0.127536 0.184009 "Acinetobacter nosocomialis"
"10" "asv_000112" 0.003052 0.002436 -0.702972 0.618156 0.613423 0.215155 "Burkholderia sp 2"
"11" "asv_000155" 0.002263 0.001906 -0.676573 0.772819 0.48594 0.277366 "Mucilaginibacter gossypii"
"12" "asv_000162" 0.001741 0.001761 -0.048306 0.929969 0.099285 0.145238 "Chitinophaga eiseniae"
"13" "asv_000183" 0.004151 0.002266 0.438704 0.557265 0.699019 0.106462 "Bacillus fumarioli"
"14" "asv_000189" 0.001714 0.001647 -0.127535 0.979959 0.125973 0.183055 "TM7a sp 2"
"15" "asv_000191" 0.002324 0.001744 -0.082143 0.649361 0.152112 0.14456 "Candidatus Udaeobacter copiosus"
"16" "asv_000196" 0.002052 0.001902 -0.066249 0.782324 0.101169 0.154076 "Bradyrhizobium elkanii"
"17" "asv_000217" 0.001084 0.001251 -0.858558 1.252616 0.33201 0.338121 "Variovorax paradoxus"
"18" "asv_000237" 0.003642 0.002337 -0.218449 0.587329 0.508846 0.227543 "Pseudoduganella"
"19" "asv_000245" 0.001544 0.001326 -0.932931 1.013428 0.437449 0.346041 "Pseudomonas parafulva"
"20" "asv_000246" 0.001361 0.001404 0.006657 0.928684 0.067049 0.117348 "Labrys miyagiensis"
"21" "asv_000251" 0.001549 0.001792 0.067177 0.835496 0.062274 0.105955 "Dyella marensis"
"22" "asv_000260" 0.000316 0.000643 -1.919197 0.68597 0.586525 0.21148 "f_Comamonadaceae Unknown Genus"
"23" "asv_000272" 0.002205 0.001637 -0.864042 0.609718 0.423015 0.269378 "Pantoea ananatis"
"24" "asv_000281" 0.000908 0.001321 -1.631102 0.629609 0.693582 0.182211 "Sphingoaurantiacus"
"25" "asv_000294" 0.001467 0.001531 0.174333 0.827027 0.039839 0.070937 "f_LWQ8"
"26" "asv_000311" 0.001457 0.001493 0.00826 0.891774 0.056441 0.120921 "Microbacterium testaceum"
"27" "asv_000322" 0.003346 0.002161 -0.530538 0.563606 0.618292 0.184368 "Kribbella karoonensis"
"28" "asv_000330" 0.003605 0.002254 -0.101328 0.57576 0.433444 0.191323 "Phenylobacterium muchangponense"
"29" "asv_000341" 0.00335 0.002004 -0.182406 0.534671 0.711813 0.145041 "Pseudarthrobacter"
