pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct,file,method,tissue,trait,treatment
0,1.87627000214227,0,1.87627000214227,0,0.05,21,res.fixed.pcut_sum_T1_lowN_ts_GRoot.csv,res.fixed,GRoot,T1_lowN,lowN
0.0960816580765206,0.72567412586468,0.0697239732363081,0.579118565744312,1,0.05,18,res.fixed.pcut_sum_T1_lowN_ts_GShoot.csv,res.fixed,GShoot,T1_lowN,lowN
0,2.07542952914248,0,2.07542952914248,0,0.05,25,res.fixed.pcut_sum_T1_lowN_ts_Kern.csv,res.fixed,Kern,T1_lowN,lowN
0.0534922770230364,2.11740061915532,0.113264580488605,1.82454095801551,4,0.05,56,res.fixed.pcut_sum_T1_lowN_ts_L3Base.csv,res.fixed,L3Base,T1_lowN,lowN
0.698341196332221,0.180077835654384,0.125755771183799,0.0413609638525396,1,0.05,1,res.fixed.pcut_sum_T1_lowN_ts_L3Tip.csv,res.fixed,L3Tip,T1_lowN,lowN
0,1.58968357840489,0,1.58968357840489,0,0.05,47,res.fixed.pcut_sum_T1_lowN_ts_LMAD.csv,res.fixed,LMAD,T1_lowN,lowN
0,0.451175235925549,0,0.451175235925549,0,0.05,8,res.fixed.pcut_sum_T1_lowN_ts_LMAN.csv,res.fixed,LMAN,T1_lowN,lowN
0,0.25509268230291,0,0.25509268230291,0,0.05,9,res.fixed.pcut_sum_T1_stdN_ts_GRoot.csv,res.fixed,GRoot,T1_stdN,stdN
0,0.36809860270112,0,0.36809860270112,0,0.05,13,res.fixed.pcut_sum_T1_stdN_ts_GShoot.csv,res.fixed,GShoot,T1_stdN,stdN
0,0.219417604467732,0,0.219417604467732,0,0.05,17,res.fixed.pcut_sum_T1_stdN_ts_Kern.csv,res.fixed,Kern,T1_stdN,stdN
0,0.165785426317962,0,0.165785426317962,0,0.05,7,res.fixed.pcut_sum_T1_stdN_ts_L3Base.csv,res.fixed,L3Base,T1_stdN,stdN
0,0.572531526562574,0,0.572531526562574,0,0.05,43,res.fixed.pcut_sum_T1_stdN_ts_L3Tip.csv,res.fixed,L3Tip,T1_stdN,stdN
0,0.505609758789739,0,0.505609758789739,0,0.05,56,res.fixed.pcut_sum_T1_stdN_ts_LMAD.csv,res.fixed,LMAD,T1_stdN,stdN
0,0.309679589989683,0,0.309679589989683,0,0.05,15,res.fixed.pcut_sum_T1_stdN_ts_LMAN.csv,res.fixed,LMAN,T1_stdN,stdN
0.0349589989088102,0.579105978144362,0.0202449652580342,0.562401739487855,1,0.05,76,res.fixed.pcut_sum_T10_lowN_ts_GRoot.csv,res.fixed,GRoot,T10_lowN,lowN
0,0.125707555698131,0,0.125707555698131,0,0.05,5,res.fixed.pcut_sum_T10_lowN_ts_GShoot.csv,res.fixed,GShoot,T10_lowN,lowN
0,0.355623971632367,0,0.355623971632367,0,0.05,10,res.fixed.pcut_sum_T10_lowN_ts_Kern.csv,res.fixed,Kern,T10_lowN,lowN
0.0514441631118421,0.649106139621233,0.0333927221235728,0.62148363086156,1,0.05,71,res.fixed.pcut_sum_T10_lowN_ts_L3Base.csv,res.fixed,L3Base,T10_lowN,lowN
0.119702242419934,0.4346396736345,0.0520273435787181,0.373244205857759,2,0.05,33,res.fixed.pcut_sum_T10_lowN_ts_L3Tip.csv,res.fixed,L3Tip,T10_lowN,lowN
