GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0022613	P	ribonucleoprotein complex biogenesis	5	93	121	25864	9.2e-05	0.033	// Zm00001d007043 // Zm00001d039762 // Zm00001d039758 // Zm00001d038671 // Zm00001d048346 
GO:0034645	P	cellular macromolecule biosynthetic process	24	93	3306	25864	0.00053	0.05	// Zm00001d035266 // Zm00001d007042 // Zm00001d022342 // Zm00001d024805 // Zm00001d047595 // Zm00001d039758 // Zm00001d047596 // Zm00001d006248 // Zm00001d024813 // Zm00001d011590 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d024350 // Zm00001d010530 // Zm00001d003762 // Zm00001d047262 // Zm00001d048347 // Zm00001d048346 // Zm00001d011589 // Zm00001d011588 
GO:0009059	P	macromolecule biosynthetic process	24	93	3314	25864	0.00055	0.05	// Zm00001d035266 // Zm00001d007042 // Zm00001d022342 // Zm00001d024805 // Zm00001d047595 // Zm00001d039758 // Zm00001d047596 // Zm00001d006248 // Zm00001d024813 // Zm00001d011590 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d024350 // Zm00001d010530 // Zm00001d003762 // Zm00001d047262 // Zm00001d048347 // Zm00001d048346 // Zm00001d011589 // Zm00001d011588 
GO:0048522	P	positive regulation of cellular process	5	93	179	25864	0.00053	0.05	// Zm00001d046500 // Zm00001d039758 // Zm00001d038667 // Zm00001d006248 // Zm00001d039762 
GO:0031323	P	regulation of cellular metabolic process	16	93	1976	25864	0.0018	0.05	// Zm00001d035266 // Zm00001d007042 // Zm00001d024813 // Zm00001d024350 // Zm00001d048347 // Zm00001d030773 // Zm00001d039762 // Zm00001d003762 // Zm00001d006248 // Zm00001d011589 // Zm00001d011588 // Zm00001d038667 // Zm00001d047595 // Zm00001d011590 // Zm00001d047596 // Zm00001d039758 
GO:0045449	P	regulation of transcription	15	93	1708	25864	0.0012	0.05	// Zm00001d035266 // Zm00001d007042 // Zm00001d024350 // Zm00001d048347 // Zm00001d024813 // Zm00001d039762 // Zm00001d003762 // Zm00001d006248 // Zm00001d011589 // Zm00001d011588 // Zm00001d038667 // Zm00001d047595 // Zm00001d011590 // Zm00001d047596 // Zm00001d039758 
GO:0044260	P	cellular macromolecule metabolic process	38	93	6785	25864	0.0015	0.05	// Zm00001d035266 // Zm00001d007043 // Zm00001d022342 // Zm00001d035263 // Zm00001d036181 // Zm00001d047604 // Zm00001d038671 // Zm00001d043048 // Zm00001d048345 // Zm00001d047595 // Zm00001d039758 // Zm00001d047596 // Zm00001d015376 // Zm00001d010529 // Zm00001d006248 // Zm00001d024813 // Zm00001d052680 // Zm00001d007042 // Zm00001d024805 // Zm00001d011590 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d042470 // Zm00001d043989 // Zm00001d010534 // Zm00001d024350 // Zm00001d010530 // Zm00001d003762 // Zm00001d047262 // Zm00001d048347 // Zm00001d048346 // Zm00001d011589 // Zm00001d011588 // Zm00001d028615 
GO:0019219	P	regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	15	93	1755	25864	0.0015	0.05	// Zm00001d035266 // Zm00001d007042 // Zm00001d024350 // Zm00001d048347 // Zm00001d024813 // Zm00001d039762 // Zm00001d003762 // Zm00001d006248 // Zm00001d011589 // Zm00001d011588 // Zm00001d038667 // Zm00001d047595 // Zm00001d011590 // Zm00001d047596 // Zm00001d039758 
GO:0051171	P	regulation of nitrogen compound metabolic process	15	93	1773	25864	0.0017	0.05	// Zm00001d035266 // Zm00001d007042 // Zm00001d024350 // Zm00001d048347 // Zm00001d024813 // Zm00001d039762 // Zm00001d003762 // Zm00001d006248 // Zm00001d011589 // Zm00001d011588 // Zm00001d038667 // Zm00001d047595 // Zm00001d011590 // Zm00001d047596 // Zm00001d039758 
GO:0016070	P	RNA metabolic process	19	93	2504	25864	0.0014	0.05	// Zm00001d035266 // Zm00001d007043 // Zm00001d024350 // Zm00001d048347 // Zm00001d010530 // Zm00001d024813 // Zm00001d039762 // Zm00001d038671 // Zm00001d003762 // Zm00001d006248 // Zm00001d048346 // Zm00001d011589 // Zm00001d011588 // Zm00001d007042 // Zm00001d038667 // Zm00001d047595 // Zm00001d011590 // Zm00001d047596 // Zm00001d039758 
