GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0032774	P	RNA biosynthetic process	9	54	1922	25864	0.017	0.17	// Zm00001d035266 // Zm00001d024350 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0031326	P	regulation of cellular biosynthetic process	9	54	1823	25864	0.013	0.17	// Zm00001d035266 // Zm00001d024350 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0045449	P	regulation of transcription	9	54	1708	25864	0.0085	0.17	// Zm00001d035266 // Zm00001d024350 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0034645	P	cellular macromolecule biosynthetic process	14	54	3306	25864	0.0068	0.17	// Zm00001d035266 // Zm00001d024350 // Zm00001d010530 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d024813 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0080090	P	regulation of primary metabolic process	9	54	1868	25864	0.015	0.17	// Zm00001d035266 // Zm00001d024350 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0044260	P	cellular macromolecule metabolic process	22	54	6785	25864	0.014	0.17	// Zm00001d035266 // Zm00001d035263 // Zm00001d038671 // Zm00001d039758 // Zm00001d015376 // Zm00001d010529 // Zm00001d024813 // Zm00001d011590 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d042470 // Zm00001d043989 // Zm00001d010534 // Zm00001d024350 // Zm00001d010530 // Zm00001d011589 // Zm00001d011588 // Zm00001d028615 
GO:0060255	P	regulation of macromolecule metabolic process	9	54	1909	25864	0.017	0.17	// Zm00001d035266 // Zm00001d024350 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0010468	P	regulation of gene expression	9	54	1863	25864	0.015	0.17	// Zm00001d035266 // Zm00001d024350 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0019219	P	regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	9	54	1755	25864	0.01	0.17	// Zm00001d035266 // Zm00001d024350 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0009889	P	regulation of biosynthetic process	9	54	1828	25864	0.013	0.17	// Zm00001d035266 // Zm00001d024350 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0009059	P	macromolecule biosynthetic process	14	54	3314	25864	0.007	0.17	// Zm00001d035266 // Zm00001d024350 // Zm00001d010530 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d024813 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0051171	P	regulation of nitrogen compound metabolic process	9	54	1773	25864	0.011	0.17	// Zm00001d035266 // Zm00001d024350 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0016070	P	RNA metabolic process	11	54	2504	25864	0.013	0.17	// Zm00001d035266 // Zm00001d024350 // Zm00001d010530 // Zm00001d024813 // Zm00001d039762 // Zm00001d038671 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0051252	P	regulation of RNA metabolic process	9	54	1719	25864	0.0089	0.17	// Zm00001d035266 // Zm00001d024350 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0043170	P	macromolecule metabolic process	24	54	7592	25864	0.013	0.17	// Zm00001d035266 // Zm00001d035263 // Zm00001d038671 // Zm00001d013799 // Zm00001d039758 // Zm00001d015376 // Zm00001d010529 // Zm00001d024813 // Zm00001d011590 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d042475 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d042470 // Zm00001d043989 // Zm00001d010534 // Zm00001d024350 // Zm00001d010530 // Zm00001d011589 // Zm00001d011588 // Zm00001d028615 
GO:0006355	P	regulation of transcription, DNA-dependent	9	54	1706	25864	0.0085	0.17	// Zm00001d035266 // Zm00001d024350 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0010556	P	regulation of macromolecule biosynthetic process	9	54	1783	25864	0.011	0.17	// Zm00001d035266 // Zm00001d024350 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0006350	P	transcription	9	54	1916	25864	0.017	0.17	// Zm00001d035266 // Zm00001d024350 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0006351	P	transcription, DNA-dependent	9	54	1915	25864	0.017	0.17	// Zm00001d035266 // Zm00001d024350 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0031323	P	regulation of cellular metabolic process	9	54	1976	25864	0.021	0.19	// Zm00001d035266 // Zm00001d024350 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0019222	P	regulation of metabolic process	9	54	2085	25864	0.028	0.25	// Zm00001d035266 // Zm00001d024350 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0010467	P	gene expression	12	54	3342	25864	0.041	0.35	// Zm00001d035266 // Zm00001d024350 // Zm00001d010530 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d015301 // Zm00001d015300 // Zm00001d039758 // Zm00001d011590 
GO:0044249	P	cellular biosynthetic process	15	54	4603	25864	0.047	0.38	// Zm00001d035266 // Zm00001d015376 // Zm00001d024350 // Zm00001d010530 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d024813 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0044248	P	cellular catabolic process	5	54	977	25864	0.053	0.41	// Zm00001d015376 // Zm00001d038671 // Zm00001d046492 // Zm00001d010534 // Zm00001d043989 
GO:0009058	P	biosynthetic process	15	54	4789	25864	0.063	0.47	// Zm00001d035266 // Zm00001d015376 // Zm00001d024350 // Zm00001d010530 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d024813 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0009056	P	catabolic process	5	54	1104	25864	0.08	0.58	// Zm00001d015376 // Zm00001d038671 // Zm00001d046492 // Zm00001d010534 // Zm00001d043989 
GO:0009987	P	cellular process	31	54	12394	25864	0.1	0.72	// Zm00001d035266 // Zm00001d035263 // Zm00001d038671 // Zm00001d016049 // Zm00001d038576 // Zm00001d039758 // Zm00001d046492 // Zm00001d015376 // Zm00001d010529 // Zm00001d024813 // Zm00001d046661 // Zm00001d011590 // Zm00001d053143 // Zm00001d038668 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d042475 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d042470 // Zm00001d044480 // Zm00001d043989 // Zm00001d024350 // Zm00001d010534 // Zm00001d002936 // Zm00001d010530 // Zm00001d011589 // Zm00001d011588 // Zm00001d028615 
GO:0006139	P	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	11	54	3518	25864	0.11	0.72	// Zm00001d035266 // Zm00001d024350 // Zm00001d010530 // Zm00001d024813 // Zm00001d039762 // Zm00001d038671 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0044237	P	cellular metabolic process	25	54	9644	25864	0.11	0.72	// Zm00001d035266 // Zm00001d035263 // Zm00001d038671 // Zm00001d039758 // Zm00001d046492 // Zm00001d015376 // Zm00001d010529 // Zm00001d024813 // Zm00001d011590 // Zm00001d038668 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d042475 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d042470 // Zm00001d043989 // Zm00001d010534 // Zm00001d024350 // Zm00001d010530 // Zm00001d011589 // Zm00001d011588 // Zm00001d028615 
GO:0019538	P	protein metabolic process	13	54	4447	25864	0.13	0.78	// Zm00001d015376 // Zm00001d010529 // Zm00001d010534 // Zm00001d035263 // Zm00001d010530 // Zm00001d038667 // Zm00001d013799 // Zm00001d042475 // Zm00001d015301 // Zm00001d015300 // Zm00001d042470 // Zm00001d043989 // Zm00001d028615 
GO:0006807	P	nitrogen compound metabolic process	12	54	4183	25864	0.15	0.85	// Zm00001d035266 // Zm00001d024350 // Zm00001d046492 // Zm00001d010530 // Zm00001d024813 // Zm00001d039762 // Zm00001d038671 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0044267	P	cellular protein metabolic process	11	54	3741	25864	0.15	0.85	// Zm00001d015376 // Zm00001d010529 // Zm00001d010534 // Zm00001d035263 // Zm00001d010530 // Zm00001d038667 // Zm00001d015301 // Zm00001d015300 // Zm00001d042470 // Zm00001d043989 // Zm00001d028615 
GO:0050794	P	regulation of cellular process	9	54	2928	25864	0.15	0.85	// Zm00001d035266 // Zm00001d024350 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0044238	P	primary metabolic process	25	54	9990	25864	0.15	0.85	// Zm00001d035266 // Zm00001d035263 // Zm00001d038671 // Zm00001d013799 // Zm00001d044053 // Zm00001d039758 // Zm00001d015376 // Zm00001d010529 // Zm00001d024813 // Zm00001d011590 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d042475 // Zm00001d015301 // Zm00001d015300 // Zm00001d042470 // Zm00001d043989 // Zm00001d010534 // Zm00001d024350 // Zm00001d010530 // Zm00001d011589 // Zm00001d011588 // Zm00001d028615 // Zm00001d022367 
GO:0050789	P	regulation of biological process	9	54	3207	25864	0.22	1	// Zm00001d035266 // Zm00001d024350 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0065007	P	biological regulation	9	54	3697	25864	0.37	1	// Zm00001d035266 // Zm00001d024350 // Zm00001d024813 // Zm00001d039762 // Zm00001d038667 // Zm00001d011589 // Zm00001d011588 // Zm00001d039758 // Zm00001d011590 
GO:0043687	P	post-translational protein modification	6	54	2107	25864	0.28	1	// Zm00001d015376 // Zm00001d010534 // Zm00001d035263 // Zm00001d038667 // Zm00001d042470 // Zm00001d028615 
GO:0006810	P	transport	6	54	2313	25864	0.35	1	// Zm00001d053143 // Zm00001d046661 // Zm00001d002936 // Zm00001d016049 // Zm00001d038576 // Zm00001d044480 
GO:0006464	P	protein modification process	6	54	2263	25864	0.33	1	// Zm00001d015376 // Zm00001d010534 // Zm00001d035263 // Zm00001d038667 // Zm00001d042470 // Zm00001d028615 
GO:0043412	P	macromolecule modification	6	54	2387	25864	0.38	1	// Zm00001d015376 // Zm00001d010534 // Zm00001d035263 // Zm00001d038667 // Zm00001d042470 // Zm00001d028615 
GO:0008152	P	metabolic process	31	54	13125	25864	0.2	1	// Zm00001d035266 // Zm00001d035263 // Zm00001d038671 // Zm00001d013799 // Zm00001d044053 // Zm00001d039758 // Zm00001d046492 // Zm00001d015376 // Zm00001d010529 // Zm00001d024813 // Zm00001d004388 // Zm00001d020744 // Zm00001d011590 // Zm00001d038668 // Zm00001d039763 // Zm00001d039762 // Zm00001d038667 // Zm00001d042475 // Zm00001d042474 // Zm00001d015301 // Zm00001d015300 // Zm00001d039385 // Zm00001d042470 // Zm00001d043989 // Zm00001d010534 // Zm00001d024350 // Zm00001d010530 // Zm00001d011589 // Zm00001d011588 // Zm00001d028615 // Zm00001d022367 
GO:0051234	P	establishment of localization	6	54	2322	25864	0.36	1	// Zm00001d053143 // Zm00001d046661 // Zm00001d002936 // Zm00001d016049 // Zm00001d038576 // Zm00001d044480 
GO:0051179	P	localization	6	54	2376	25864	0.38	1	// Zm00001d053143 // Zm00001d046661 // Zm00001d002936 // Zm00001d016049 // Zm00001d038576 // Zm00001d044480 
GO:0003723	F	RNA binding	5	54	606	25864	0.0088	0.34	// Zm00001d015300 // Zm00001d039762 // Zm00001d039758 // Zm00001d038671 // Zm00001d020748 
GO:0022892	F	substrate-specific transporter activity	6	54	842	25864	0.0082	0.34	// Zm00001d053143 // Zm00001d046661 // Zm00001d002936 // Zm00001d016049 // Zm00001d038576 // Zm00001d039386 
GO:0043169	F	cation binding	5	54	4135	25864	0.95	1	// Zm00001d042475 // Zm00001d046722 // Zm00001d035263 // Zm00001d038667 // Zm00001d044481 
GO:0005488	F	binding	30	54	15311	25864	0.75	1	// Zm00001d035266 // Zm00001d035263 // Zm00001d038671 // Zm00001d013799 // Zm00001d052992 // Zm00001d038576 // Zm00001d039758 // Zm00001d015376 // Zm00001d015377 // Zm00001d004388 // Zm00001d044481 // Zm00001d011590 // Zm00001d020748 // Zm00001d046722 // Zm00001d010529 // Zm00001d039762 // Zm00001d002936 // Zm00001d042475 // Zm00001d015300 // Zm00001d038667 // Zm00001d043989 // Zm00001d024990 // Zm00001d010534 // Zm00001d024350 // Zm00001d010532 // Zm00001d010530 // Zm00001d011589 // Zm00001d011588 // Zm00001d022366 // Zm00001d042470 
GO:0005524	F	ATP binding	6	54	3105	25864	0.64	1	// Zm00001d015376 // Zm00001d010529 // Zm00001d010534 // Zm00001d010530 // Zm00001d038576 // Zm00001d042470 
GO:0043167	F	ion binding	5	54	4136	25864	0.95	1	// Zm00001d042475 // Zm00001d046722 // Zm00001d035263 // Zm00001d038667 // Zm00001d044481 
GO:0001883	F	purine nucleoside binding	9	54	3434	25864	0.29	1	// Zm00001d015376 // Zm00001d010529 // Zm00001d010534 // Zm00001d010530 // Zm00001d052992 // Zm00001d038576 // Zm00001d042470 // Zm00001d024990 // Zm00001d004388 
GO:0016740	F	transferase activity	5	54	4374	25864	0.96	1	// Zm00001d015376 // Zm00001d039763 // Zm00001d039385 // Zm00001d042470 // Zm00001d038668 
GO:0000166	F	nucleotide binding	10	54	4586	25864	0.5	1	// Zm00001d015376 // Zm00001d010529 // Zm00001d010534 // Zm00001d010532 // Zm00001d010530 // Zm00001d052992 // Zm00001d038576 // Zm00001d042470 // Zm00001d024990 // Zm00001d004388 
GO:0017076	F	purine nucleotide binding	10	54	3780	25864	0.26	1	// Zm00001d015376 // Zm00001d010529 // Zm00001d010534 // Zm00001d010532 // Zm00001d010530 // Zm00001d052992 // Zm00001d038576 // Zm00001d042470 // Zm00001d024990 // Zm00001d004388 
