GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0044267	P	cellular protein metabolic process	14	57	3741	25864	0.03	0.99	// Zm00001d010529 // Zm00001d022342 // Zm00001d010534 // Zm00001d047604 // Zm00001d010530 // Zm00001d048345 // Zm00001d047262 // Zm00001d006248 // Zm00001d048346 // Zm00001d043048 // Zm00001d042470 // Zm00001d028615 // Zm00001d047596 // Zm00001d052680 
GO:0051716	P	cellular response to stimulus	6	57	893	25864	0.014	0.99	// Zm00001d007042 // Zm00001d010529 // Zm00001d046500 // Zm00001d036181 // Zm00001d048345 // Zm00001d047595 
GO:0044260	P	cellular macromolecule metabolic process	22	57	6785	25864	0.028	0.99	// Zm00001d007043 // Zm00001d007042 // Zm00001d022342 // Zm00001d036181 // Zm00001d024805 // Zm00001d043048 // Zm00001d048345 // Zm00001d047595 // Zm00001d047596 // Zm00001d010529 // Zm00001d006248 // Zm00001d052680 // Zm00001d047604 // Zm00001d039385 // Zm00001d042470 // Zm00001d010534 // Zm00001d010530 // Zm00001d003762 // Zm00001d047262 // Zm00001d048347 // Zm00001d048346 // Zm00001d028615 
GO:0044085	P	cellular component biogenesis	5	57	725	25864	0.022	0.99	// Zm00001d007043 // Zm00001d039385 // Zm00001d047596 // Zm00001d036177 // Zm00001d048346 
GO:0019538	P	protein metabolic process	16	57	4447	25864	0.028	0.99	// Zm00001d010529 // Zm00001d022342 // Zm00001d010534 // Zm00001d047604 // Zm00001d010530 // Zm00001d048345 // Zm00001d047262 // Zm00001d006248 // Zm00001d013799 // Zm00001d042475 // Zm00001d043048 // Zm00001d042470 // Zm00001d028615 // Zm00001d047596 // Zm00001d048346 // Zm00001d052680 
GO:0043170	P	macromolecule metabolic process	24	57	7592	25864	0.027	0.99	// Zm00001d007043 // Zm00001d007042 // Zm00001d022342 // Zm00001d036181 // Zm00001d024805 // Zm00001d013799 // Zm00001d043048 // Zm00001d048345 // Zm00001d047595 // Zm00001d047596 // Zm00001d010529 // Zm00001d006248 // Zm00001d052680 // Zm00001d047604 // Zm00001d042475 // Zm00001d039385 // Zm00001d042470 // Zm00001d010534 // Zm00001d010530 // Zm00001d003762 // Zm00001d047262 // Zm00001d048347 // Zm00001d048346 // Zm00001d028615 
GO:0032774	P	RNA biosynthetic process	6	57	1922	25864	0.25	1	// Zm00001d007042 // Zm00001d003762 // Zm00001d048347 // Zm00001d006248 // Zm00001d047595 // Zm00001d047596 
GO:0019222	P	regulation of metabolic process	7	57	2085	25864	0.17	1	// Zm00001d007042 // Zm00001d030773 // Zm00001d003762 // Zm00001d006248 // Zm00001d048347 // Zm00001d047595 // Zm00001d047596 
GO:0016310	P	phosphorylation	6	57	2119	25864	0.32	1	// Zm00001d022341 // Zm00001d030773 // Zm00001d047604 // Zm00001d048345 // Zm00001d006248 // Zm00001d042470 
GO:0031323	P	regulation of cellular metabolic process	7	57	1976	25864	0.14	1	// Zm00001d007042 // Zm00001d030773 // Zm00001d003762 // Zm00001d006248 // Zm00001d048347 // Zm00001d047595 // Zm00001d047596 
