ID	HN-B	HN-Ca	HN-CHL	HN-Cu	HN-DW	HN-Fe	HN-FW	HN-K	HN-LA	HN-Mg	HN-Mn	HN-N	HN-P	HN-S	HN-Zn	LN-B	LN-Ca	LN-CHL	LN-Cu	LN-DW	LN-Fe	LN-FW	LN-K	LN-LA	LN-Mg	LN-Mn	LN-N	LN-P	LN-S	LN-Zn
B97	17.2936558	0.343187645	402.6819048	10.42846372	7.94918586	89.80321565	31.85410414	2.194419434	1353.662251	0.219903723	56.56430444	2.683165114	0.271255947	0.174134837	24.74654892	15.46975366	0.257607934	227.7307736	5.487184481	5.679701193	64.57917427	21.81268391	2.103025906	1048.553549	0.131003135	41.35361171	1.665372036	0.265088008	0.117083008	17.28326996
CML103	18.74876753	NA	379.1497877	11.13972393	6.98891987	105.9071519	28.63725441	2.131578687	1240.481211	0.241407768	110.8882732	2.768754078	0.279607922	0.189950628	31.96686376	15.46975366	0.303590706	231.0814761	5.487184481	6.015840649	64.82243512	22.45607517	1.791837563	1111.471242	0.155267387	70.08686183	1.777237338	0.286767965	0.139801628	24.09033149
KI3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ms71	18.74876753	0.375540104	420.8475888	12.20661424	8.628309336	103.1525312	36.79598955	2.206987584	1424.571396	0.173311626	59.60340759	2.876670597	0.332503763	0.182042732	25.94993472	15.76951541	0.292095013	301.2131363	6.20644631	6.96225271	75.52591261	27.94937769	2.169459372	1284.880098	0.143135261	47.59997043	2.033595323	0.315674575	0.14953818	17.28326996
N6	13.29209856	0.375540104	392.4733455	11.49535404	5.718301753	97.43139596	23.41791571	2.17556721	993.6860031	0.162559603	83.91623276	2.70549267	0.274039939	0.245305896	25.14767752	14.87023016	0.322750194	281.6625156	6.92570814	4.782241481	73.82308664	19.1062446	1.987641464	909.4858462	0.131003135	61.75838354	2.066222703	0.284359081	0.204711971	NA
Oh43	34.75499649	0.327011415	385.4723093	11.85098414	6.156445931	101.45738	23.55865289	2.23526592	1067.155142	0.162559603	57.70396812	2.826433597	0.301879855	0.187314663	33.17024957	22.06451218	0.311254501	246.5238441	6.92570814	6.22796749	70.17417387	24.60654051	2.172955871	1118.081921	0.122915052	57.17772047	1.945035292	0.308447923	0.14953818	21.44314089
W22	20.93143511	0.407892564	383.6218152	13.27350456	6.799057392	102.0930617	29.22030842	2.29496463	1299.452865	0.22348773	79.73746593	2.832015485	0.307447839	0.187314663	31.96686376	18.76713292	0.376396761	258.7903289	8.004600884	5.121644427	80.6343905	22.0679424	2.508619701	1009.544825	0.159311429	98.40368804	1.979993199	0.306039039	0.169011283	NA
W64A	17.2936558	0.343187645	365.1168739	10.07283362	4.473242047	93.8291997	15.85831883	2.379799638	839.1899116	0.144639566	68.34082913	2.698050151	0.321367797	0.176770802	32.76912097	19.06689467	0.311254501	257.8579595	6.566077225	4.622330478	78.93156453	18.20759486	2.319808796	905.2154579	0.102694842	49.26566609	1.963679509	0.298812386	0.14953818	25.98118191
33-16	12.20076477	0.492008958	460.9107867	11.85098414	7.784881793	102.7287434	33.31777077	2.266686293	1407.086704	0.209151701	73.27937175	2.91388319	0.282391914	0.179406767	21.13639149	14.87023016	0.384060556	NA	NA	5.820031258	78.20178198	24.16945405	2.07505392	1143.823748	0.187619722	NA	2.105841664	0.306039039	0.159274731	NA
38-11Goodman-Buckler	17.92034984	0.459583834	424.6357207	17.29868111	7.742103973	111.5283466	35.92131571	2.352326059	1322.079497	0.169481138	96.62675109	2.945763887	0.311173647	0.207564284	25.97082233	15.85330705	0.405220479	303.6087224	12.6388719	6.949112546	94.21247931	25.95161675	2.155876488	1152.687105	0.12041846	69.90114863	2.200455945	0.31665414	0.229010838	20.95237373
